fecha,codigo_ciiu,actividad,indice
2004-11-01,A011,Cultivo de plantas no perennes,50.08
2004-12-01,A011,Cultivo de plantas no perennes,51.73
2005-01-01,A011,Cultivo de plantas no perennes,50.97
2005-02-01,A011,Cultivo de plantas no perennes,58.38
2005-03-01,A011,Cultivo de plantas no perennes,63.43
2005-04-01,A011,Cultivo de plantas no perennes,55.15
2005-05-01,A011,Cultivo de plantas no perennes,50.25
2005-06-01,A011,Cultivo de plantas no perennes,48.7
2005-07-01,A011,Cultivo de plantas no perennes,49.0
2005-08-01,A011,Cultivo de plantas no perennes,49.41
2005-09-01,A011,Cultivo de plantas no perennes,49.66
2005-10-01,A011,Cultivo de plantas no perennes,50.41
2005-11-01,A011,Cultivo de plantas no perennes,54.89
2005-12-01,A011,Cultivo de plantas no perennes,56.33
2006-01-01,A011,Cultivo de plantas no perennes,56.23
2006-02-01,A011,Cultivo de plantas no perennes,57.49
2006-03-01,A011,Cultivo de plantas no perennes,58.58
2006-04-01,A011,Cultivo de plantas no perennes,50.11
2006-05-01,A011,Cultivo de plantas no perennes,43.78
2006-06-01,A011,Cultivo de plantas no perennes,45.89
2006-07-01,A011,Cultivo de plantas no perennes,49.21
2006-08-01,A011,Cultivo de plantas no perennes,50.15
2006-09-01,A011,Cultivo de plantas no perennes,50.75
2006-10-01,A011,Cultivo de plantas no perennes,52.03
2006-11-01,A011,Cultivo de plantas no perennes,55.51
2006-12-01,A011,Cultivo de plantas no perennes,58.12
2007-01-01,A011,Cultivo de plantas no perennes,58.65
2007-02-01,A011,Cultivo de plantas no perennes,62.41
2007-03-01,A011,Cultivo de plantas no perennes,64.11
2007-04-01,A011,Cultivo de plantas no perennes,59.5
2007-05-01,A011,Cultivo de plantas no perennes,56.84
2007-06-01,A011,Cultivo de plantas no perennes,57.64
2007-07-01,A011,Cultivo de plantas no perennes,59.0
2007-08-01,A011,Cultivo de plantas no perennes,61.82
2007-09-01,A011,Cultivo de plantas no perennes,67.81
2007-10-01,A011,Cultivo de plantas no perennes,67.45
2007-11-01,A011,Cultivo de plantas no perennes,67.99
2007-12-01,A011,Cultivo de plantas no perennes,68.59
2008-01-01,A011,Cultivo de plantas no perennes,72.32
2008-02-01,A011,Cultivo de plantas no perennes,74.81
2008-03-01,A011,Cultivo de plantas no perennes,79.55
2008-04-01,A011,Cultivo de plantas no perennes,79.57
2008-05-01,A011,Cultivo de plantas no perennes,82.33
2008-06-01,A011,Cultivo de plantas no perennes,87.36
2008-07-01,A011,Cultivo de plantas no perennes,88.82
2008-08-01,A011,Cultivo de plantas no perennes,88.53
2008-09-01,A011,Cultivo de plantas no perennes,85.47
2008-10-01,A011,Cultivo de plantas no perennes,79.09
2008-11-01,A011,Cultivo de plantas no perennes,78.56
2008-12-01,A011,Cultivo de plantas no perennes,79.08
2009-01-01,A011,Cultivo de plantas no perennes,81.86
2009-02-01,A011,Cultivo de plantas no perennes,81.82
2009-03-01,A011,Cultivo de plantas no perennes,84.35
2009-04-01,A011,Cultivo de plantas no perennes,89.79
2009-05-01,A011,Cultivo de plantas no perennes,81.7
2009-06-01,A011,Cultivo de plantas no perennes,77.25
2009-07-01,A011,Cultivo de plantas no perennes,77.3
2009-08-01,A011,Cultivo de plantas no perennes,70.52
2009-09-01,A011,Cultivo de plantas no perennes,69.05
2009-10-01,A011,Cultivo de plantas no perennes,72.51
2009-11-01,A011,Cultivo de plantas no perennes,74.81
2009-12-01,A011,Cultivo de plantas no perennes,80.8
2010-01-01,A011,Cultivo de plantas no perennes,85.42
2010-02-01,A011,Cultivo de plantas no perennes,88.26
2010-03-01,A011,Cultivo de plantas no perennes,87.8
2010-04-01,A011,Cultivo de plantas no perennes,86.98
2010-05-01,A011,Cultivo de plantas no perennes,74.8
2010-06-01,A011,Cultivo de plantas no perennes,74.02
2010-07-01,A011,Cultivo de plantas no perennes,76.48
2010-08-01,A011,Cultivo de plantas no perennes,80.51
2010-09-01,A011,Cultivo de plantas no perennes,82.12
2010-10-01,A011,Cultivo de plantas no perennes,80.66
2010-11-01,A011,Cultivo de plantas no perennes,82.94
2010-12-01,A011,Cultivo de plantas no perennes,86.72
2011-01-01,A011,Cultivo de plantas no perennes,87.38
2011-02-01,A011,Cultivo de plantas no perennes,88.54
2011-03-01,A011,Cultivo de plantas no perennes,90.81
2011-04-01,A011,Cultivo de plantas no perennes,90.9
2011-05-01,A011,Cultivo de plantas no perennes,87.67
2011-06-01,A011,Cultivo de plantas no perennes,87.16
2011-07-01,A011,Cultivo de plantas no perennes,90.22
2011-08-01,A011,Cultivo de plantas no perennes,93.97
2011-09-01,A011,Cultivo de plantas no perennes,97.79
2011-10-01,A011,Cultivo de plantas no perennes,95.18
2011-11-01,A011,Cultivo de plantas no perennes,95.76
2011-12-01,A011,Cultivo de plantas no perennes,93.87
2012-01-01,A011,Cultivo de plantas no perennes,89.96
2012-02-01,A011,Cultivo de plantas no perennes,90.85
2012-03-01,A011,Cultivo de plantas no perennes,96.21
2012-04-01,A011,Cultivo de plantas no perennes,90.64
2012-05-01,A011,Cultivo de plantas no perennes,92.3
2012-06-01,A011,Cultivo de plantas no perennes,89.1
2012-07-01,A011,Cultivo de plantas no perennes,95.88
2012-08-01,A011,Cultivo de plantas no perennes,96.65
2012-09-01,A011,Cultivo de plantas no perennes,102.64
2012-10-01,A011,Cultivo de plantas no perennes,98.63
2012-11-01,A011,Cultivo de plantas no perennes,98.06
2012-12-01,A011,Cultivo de plantas no perennes,99.44
2013-01-01,A011,Cultivo de plantas no perennes,100.74
2013-02-01,A011,Cultivo de plantas no perennes,102.73
2013-03-01,A011,Cultivo de plantas no perennes,105.04
2013-04-01,A011,Cultivo de plantas no perennes,107.35
2013-05-01,A011,Cultivo de plantas no perennes,101.92
2013-06-01,A011,Cultivo de plantas no perennes,101.05
2013-07-01,A011,Cultivo de plantas no perennes,94.41
2013-08-01,A011,Cultivo de plantas no perennes,94.28
2013-09-01,A011,Cultivo de plantas no perennes,90.64
2013-10-01,A011,Cultivo de plantas no perennes,88.59
2013-11-01,A011,Cultivo de plantas no perennes,91.02
2013-12-01,A011,Cultivo de plantas no perennes,96.6
2014-01-01,A011,Cultivo de plantas no perennes,97.69
2014-02-01,A011,Cultivo de plantas no perennes,96.84
2014-03-01,A011,Cultivo de plantas no perennes,99.68
2014-04-01,A011,Cultivo de plantas no perennes,102.3
2014-05-01,A011,Cultivo de plantas no perennes,88.89
2014-06-01,A011,Cultivo de plantas no perennes,90.99
2014-07-01,A011,Cultivo de plantas no perennes,95.8
2014-08-01,A011,Cultivo de plantas no perennes,98.85
2014-09-01,A011,Cultivo de plantas no perennes,98.23
2014-10-01,A011,Cultivo de plantas no perennes,102.23
2014-11-01,A011,Cultivo de plantas no perennes,103.39
2014-12-01,A011,Cultivo de plantas no perennes,102.95
2015-01-01,A011,Cultivo de plantas no perennes,106.14
2015-02-01,A011,Cultivo de plantas no perennes,103.18
2015-03-01,A011,Cultivo de plantas no perennes,103.73
2015-04-01,A011,Cultivo de plantas no perennes,106.57
2015-05-01,A011,Cultivo de plantas no perennes,99.45
2015-06-01,A011,Cultivo de plantas no perennes,96.99
2015-07-01,A011,Cultivo de plantas no perennes,99.6
2015-08-01,A011,Cultivo de plantas no perennes,104.29
2015-09-01,A011,Cultivo de plantas no perennes,109.61
2015-10-01,A011,Cultivo de plantas no perennes,105.08
2015-11-01,A011,Cultivo de plantas no perennes,104.9
2015-12-01,A011,Cultivo de plantas no perennes,106.22
2016-01-01,A011,Cultivo de plantas no perennes,96.49
2016-02-01,A011,Cultivo de plantas no perennes,97.2
2016-03-01,A011,Cultivo de plantas no perennes,108.09
2016-04-01,A011,Cultivo de plantas no perennes,97.38
2016-05-01,A011,Cultivo de plantas no perennes,93.15
2016-06-01,A011,Cultivo de plantas no perennes,92.6
2016-07-01,A011,Cultivo de plantas no perennes,92.6
2016-08-01,A011,Cultivo de plantas no perennes,91.09
2016-09-01,A011,Cultivo de plantas no perennes,99.44
2016-10-01,A011,Cultivo de plantas no perennes,96.89
2016-11-01,A011,Cultivo de plantas no perennes,92.57
2016-12-01,A011,Cultivo de plantas no perennes,101.14
2017-01-01,A011,Cultivo de plantas no perennes,102.95
2017-02-01,A011,Cultivo de plantas no perennes,97.61
2017-03-01,A011,Cultivo de plantas no perennes,89.01
2017-04-01,A011,Cultivo de plantas no perennes,87.54
2017-05-01,A011,Cultivo de plantas no perennes,85.45
2017-06-01,A011,Cultivo de plantas no perennes,86.15
2017-07-01,A011,Cultivo de plantas no perennes,86.63
2017-08-01,A011,Cultivo de plantas no perennes,87.57
2017-09-01,A011,Cultivo de plantas no perennes,88.36
2017-10-01,A011,Cultivo de plantas no perennes,89.11
2017-11-01,A011,Cultivo de plantas no perennes,86.46
2017-12-01,A011,Cultivo de plantas no perennes,92.09
2018-01-01,A011,Cultivo de plantas no perennes,95.23
2018-02-01,A011,Cultivo de plantas no perennes,92.31
2018-03-01,A011,Cultivo de plantas no perennes,92.5
2018-04-01,A011,Cultivo de plantas no perennes,90.81
2018-05-01,A011,Cultivo de plantas no perennes,84.65
2018-06-01,A011,Cultivo de plantas no perennes,85.13
2018-07-01,A011,Cultivo de plantas no perennes,84.95
2018-08-01,A011,Cultivo de plantas no perennes,86.65
2018-09-01,A011,Cultivo de plantas no perennes,93.24
2018-10-01,A011,Cultivo de plantas no perennes,97.11
2018-11-01,A011,Cultivo de plantas no perennes,90.6
2018-12-01,A011,Cultivo de plantas no perennes,83.39
2019-01-01,A011,Cultivo de plantas no perennes,83.31
2019-02-01,A011,Cultivo de plantas no perennes,82.14
2019-03-01,A011,Cultivo de plantas no perennes,81.59
2019-04-01,A011,Cultivo de plantas no perennes,80.8
2019-05-01,A011,Cultivo de plantas no perennes,85.78
2019-06-01,A011,Cultivo de plantas no perennes,88.02
2019-07-01,A011,Cultivo de plantas no perennes,85.14
2019-08-01,A011,Cultivo de plantas no perennes,90.21
2019-09-01,A011,Cultivo de plantas no perennes,98.42
2019-10-01,A011,Cultivo de plantas no perennes,93.7
2019-11-01,A011,Cultivo de plantas no perennes,87.87
2019-12-01,A011,Cultivo de plantas no perennes,86.21
2020-01-01,A011,Cultivo de plantas no perennes,83.71
2020-02-01,A011,Cultivo de plantas no perennes,84.6
2020-03-01,A011,Cultivo de plantas no perennes,85.31
2020-04-01,A011,Cultivo de plantas no perennes,86.81
2020-05-01,A011,Cultivo de plantas no perennes,87.23
2020-06-01,A011,Cultivo de plantas no perennes,95.3
2020-07-01,A011,Cultivo de plantas no perennes,87.84
2020-08-01,A011,Cultivo de plantas no perennes,87.28
2020-09-01,A011,Cultivo de plantas no perennes,79.07
2020-10-01,A011,Cultivo de plantas no perennes,83.78
2020-11-01,A011,Cultivo de plantas no perennes,82.94
2020-12-01,A011,Cultivo de plantas no perennes,86.2
2021-01-01,A011,Cultivo de plantas no perennes,84.94
2021-02-01,A011,Cultivo de plantas no perennes,82.88
2021-03-01,A011,Cultivo de plantas no perennes,86.69
2021-04-01,A011,Cultivo de plantas no perennes,82.21
2021-05-01,A011,Cultivo de plantas no perennes,80.56
2021-06-01,A011,Cultivo de plantas no perennes,76.58
2021-07-01,A011,Cultivo de plantas no perennes,83.86
2021-08-01,A011,Cultivo de plantas no perennes,79.73
2021-09-01,A011,Cultivo de plantas no perennes,82.22
2021-10-01,A011,Cultivo de plantas no perennes,85.3
2021-11-01,A011,Cultivo de plantas no perennes,84.2
2021-12-01,A011,Cultivo de plantas no perennes,82.6
2022-01-01,A011,Cultivo de plantas no perennes,89.99
2022-02-01,A011,Cultivo de plantas no perennes,98.09
2022-03-01,A011,Cultivo de plantas no perennes,96.35
2022-04-01,A011,Cultivo de plantas no perennes,98.14
2022-05-01,A011,Cultivo de plantas no perennes,95.73
2022-06-01,A011,Cultivo de plantas no perennes,96.03
2022-07-01,A011,Cultivo de plantas no perennes,92.62
2022-08-01,A011,Cultivo de plantas no perennes,88.82
2022-09-01,A011,Cultivo de plantas no perennes,95.14
2022-10-01,A011,Cultivo de plantas no perennes,100.06
2022-11-01,A011,Cultivo de plantas no perennes,95.74
2022-12-01,A011,Cultivo de plantas no perennes,98.76
2023-01-01,A011,Cultivo de plantas no perennes,100.78
2023-02-01,A011,Cultivo de plantas no perennes,97.12
2023-03-01,A011,Cultivo de plantas no perennes,99.0
2023-04-01,A011,Cultivo de plantas no perennes,93.2
2023-05-01,A011,Cultivo de plantas no perennes,91.23
2023-06-01,A011,Cultivo de plantas no perennes,87.77
2023-07-01,A011,Cultivo de plantas no perennes,88.72
2023-08-01,A011,Cultivo de plantas no perennes,94.0
2023-09-01,A011,Cultivo de plantas no perennes,98.67
2023-10-01,A011,Cultivo de plantas no perennes,104.63
2023-11-01,A011,Cultivo de plantas no perennes,109.74
2023-12-01,A011,Cultivo de plantas no perennes,106.89
2024-01-01,A011,Cultivo de plantas no perennes,96.02
2024-02-01,A011,Cultivo de plantas no perennes,94.06
2024-03-01,A011,Cultivo de plantas no perennes,91.69
2024-04-01,A011,Cultivo de plantas no perennes,93.84
2024-05-01,A011,Cultivo de plantas no perennes,98.4
2024-06-01,A011,Cultivo de plantas no perennes,97.35
2024-07-01,A011,Cultivo de plantas no perennes,99.11
2024-08-01,A011,Cultivo de plantas no perennes,100.79
2024-09-01,A011,Cultivo de plantas no perennes,113.77
2024-10-01,A011,Cultivo de plantas no perennes,115.04
2024-11-01,A011,Cultivo de plantas no perennes,114.38
2024-12-01,A011,Cultivo de plantas no perennes,108.55
2025-01-01,A011,Cultivo de plantas no perennes,98.45
2025-02-01,A011,Cultivo de plantas no perennes,97.0
2025-03-01,A011,Cultivo de plantas no perennes,90.04
2025-04-01,A011,Cultivo de plantas no perennes,86.2
2001-01-01,A0127,Cultivo de plantas para bebidas,48.93
2001-02-01,A0127,Cultivo de plantas para bebidas,52.63
2001-03-01,A0127,Cultivo de plantas para bebidas,56.65
2001-04-01,A0127,Cultivo de plantas para bebidas,47.17
2001-05-01,A0127,Cultivo de plantas para bebidas,48.32
2001-06-01,A0127,Cultivo de plantas para bebidas,49.97
2001-07-01,A0127,Cultivo de plantas para bebidas,51.73
2001-08-01,A0127,Cultivo de plantas para bebidas,54.13
2001-09-01,A0127,Cultivo de plantas para bebidas,56.01
2001-10-01,A0127,Cultivo de plantas para bebidas,53.01
2001-11-01,A0127,Cultivo de plantas para bebidas,52.11
2001-12-01,A0127,Cultivo de plantas para bebidas,49.95
2002-01-01,A0127,Cultivo de plantas para bebidas,51.48
2002-02-01,A0127,Cultivo de plantas para bebidas,51.61
2002-03-01,A0127,Cultivo de plantas para bebidas,46.18
2002-04-01,A0127,Cultivo de plantas para bebidas,49.15
2002-05-01,A0127,Cultivo de plantas para bebidas,49.37
2002-06-01,A0127,Cultivo de plantas para bebidas,50.35
2002-07-01,A0127,Cultivo de plantas para bebidas,57.44
2002-08-01,A0127,Cultivo de plantas para bebidas,59.58
2002-09-01,A0127,Cultivo de plantas para bebidas,61.07
2002-10-01,A0127,Cultivo de plantas para bebidas,83.84
2002-11-01,A0127,Cultivo de plantas para bebidas,106.8
2002-12-01,A0127,Cultivo de plantas para bebidas,114.04
2003-01-01,A0127,Cultivo de plantas para bebidas,114.81
2003-02-01,A0127,Cultivo de plantas para bebidas,116.69
2003-03-01,A0127,Cultivo de plantas para bebidas,116.69
2003-04-01,A0127,Cultivo de plantas para bebidas,114.74
2003-05-01,A0127,Cultivo de plantas para bebidas,81.84
2003-06-01,A0127,Cultivo de plantas para bebidas,76.93
2003-07-01,A0127,Cultivo de plantas para bebidas,76.34
2003-08-01,A0127,Cultivo de plantas para bebidas,82.17
2003-09-01,A0127,Cultivo de plantas para bebidas,83.5
2003-10-01,A0127,Cultivo de plantas para bebidas,86.87
2003-11-01,A0127,Cultivo de plantas para bebidas,90.94
2003-12-01,A0127,Cultivo de plantas para bebidas,114.9
2004-01-01,A0127,Cultivo de plantas para bebidas,120.61
2004-02-01,A0127,Cultivo de plantas para bebidas,124.76
2004-03-01,A0127,Cultivo de plantas para bebidas,127.84
2004-04-01,A0127,Cultivo de plantas para bebidas,131.95
2004-05-01,A0127,Cultivo de plantas para bebidas,123.97
2004-06-01,A0127,Cultivo de plantas para bebidas,90.42
2004-07-01,A0127,Cultivo de plantas para bebidas,86.29
2004-08-01,A0127,Cultivo de plantas para bebidas,89.8
2004-09-01,A0127,Cultivo de plantas para bebidas,127.56
2004-10-01,A0127,Cultivo de plantas para bebidas,91.83
2004-11-01,A0127,Cultivo de plantas para bebidas,98.04
2004-12-01,A0127,Cultivo de plantas para bebidas,91.37
2005-01-01,A0127,Cultivo de plantas para bebidas,108.56
2005-02-01,A0127,Cultivo de plantas para bebidas,114.29
2005-03-01,A0127,Cultivo de plantas para bebidas,118.07
2005-04-01,A0127,Cultivo de plantas para bebidas,115.7
2005-05-01,A0127,Cultivo de plantas para bebidas,113.33
2005-06-01,A0127,Cultivo de plantas para bebidas,85.11
2005-07-01,A0127,Cultivo de plantas para bebidas,86.51
2005-08-01,A0127,Cultivo de plantas para bebidas,79.96
2005-09-01,A0127,Cultivo de plantas para bebidas,69.84
2005-10-01,A0127,Cultivo de plantas para bebidas,67.98
2005-11-01,A0127,Cultivo de plantas para bebidas,69.87
2005-12-01,A0127,Cultivo de plantas para bebidas,70.3
2006-01-01,A0127,Cultivo de plantas para bebidas,67.13
2006-02-01,A0127,Cultivo de plantas para bebidas,66.19
2006-03-01,A0127,Cultivo de plantas para bebidas,66.33
2006-04-01,A0127,Cultivo de plantas para bebidas,68.82
2006-05-01,A0127,Cultivo de plantas para bebidas,69.8
2006-06-01,A0127,Cultivo de plantas para bebidas,70.57
2006-07-01,A0127,Cultivo de plantas para bebidas,72.5
2006-08-01,A0127,Cultivo de plantas para bebidas,76.37
2006-09-01,A0127,Cultivo de plantas para bebidas,79.71
2006-10-01,A0127,Cultivo de plantas para bebidas,84.62
2006-11-01,A0127,Cultivo de plantas para bebidas,87.71
2006-12-01,A0127,Cultivo de plantas para bebidas,91.48
2007-01-01,A0127,Cultivo de plantas para bebidas,99.12
2007-02-01,A0127,Cultivo de plantas para bebidas,101.37
2007-03-01,A0127,Cultivo de plantas para bebidas,108.73
2007-04-01,A0127,Cultivo de plantas para bebidas,112.14
2007-05-01,A0127,Cultivo de plantas para bebidas,99.69
2007-06-01,A0127,Cultivo de plantas para bebidas,107.14
2007-07-01,A0127,Cultivo de plantas para bebidas,109.27
2007-08-01,A0127,Cultivo de plantas para bebidas,112.16
2007-09-01,A0127,Cultivo de plantas para bebidas,118.89
2007-10-01,A0127,Cultivo de plantas para bebidas,126.24
2007-11-01,A0127,Cultivo de plantas para bebidas,117.46
2007-12-01,A0127,Cultivo de plantas para bebidas,129.65
2008-01-01,A0127,Cultivo de plantas para bebidas,135.11
2008-02-01,A0127,Cultivo de plantas para bebidas,140.8
2008-03-01,A0127,Cultivo de plantas para bebidas,159.91
2008-04-01,A0127,Cultivo de plantas para bebidas,172.98
2008-05-01,A0127,Cultivo de plantas para bebidas,175.05
2008-06-01,A0127,Cultivo de plantas para bebidas,189.06
2008-07-01,A0127,Cultivo de plantas para bebidas,179.37
2008-08-01,A0127,Cultivo de plantas para bebidas,178.58
2008-09-01,A0127,Cultivo de plantas para bebidas,141.89
2008-10-01,A0127,Cultivo de plantas para bebidas,134.76
2008-11-01,A0127,Cultivo de plantas para bebidas,110.54
2008-12-01,A0127,Cultivo de plantas para bebidas,96.34
2009-01-01,A0127,Cultivo de plantas para bebidas,93.7
2009-02-01,A0127,Cultivo de plantas para bebidas,91.15
2009-03-01,A0127,Cultivo de plantas para bebidas,88.86
2009-04-01,A0127,Cultivo de plantas para bebidas,93.81
2009-05-01,A0127,Cultivo de plantas para bebidas,100.44
2009-06-01,A0127,Cultivo de plantas para bebidas,124.52
2009-07-01,A0127,Cultivo de plantas para bebidas,119.68
2009-08-01,A0127,Cultivo de plantas para bebidas,114.92
2009-09-01,A0127,Cultivo de plantas para bebidas,117.42
2009-10-01,A0127,Cultivo de plantas para bebidas,117.56
2009-11-01,A0127,Cultivo de plantas para bebidas,125.3
2009-12-01,A0127,Cultivo de plantas para bebidas,132.95
2010-01-01,A0127,Cultivo de plantas para bebidas,141.02
2010-02-01,A0127,Cultivo de plantas para bebidas,142.21
2010-03-01,A0127,Cultivo de plantas para bebidas,140.71
2010-04-01,A0127,Cultivo de plantas para bebidas,142.38
2010-05-01,A0127,Cultivo de plantas para bebidas,144.65
2010-06-01,A0127,Cultivo de plantas para bebidas,130.08
2010-07-01,A0127,Cultivo de plantas para bebidas,129.08
2010-08-01,A0127,Cultivo de plantas para bebidas,128.65
2010-09-01,A0127,Cultivo de plantas para bebidas,136.97
2010-10-01,A0127,Cultivo de plantas para bebidas,143.51
2010-11-01,A0127,Cultivo de plantas para bebidas,149.82
2010-12-01,A0127,Cultivo de plantas para bebidas,164.81
2011-01-01,A0127,Cultivo de plantas para bebidas,177.53
2011-02-01,A0127,Cultivo de plantas para bebidas,188.48
2011-03-01,A0127,Cultivo de plantas para bebidas,190.86
2011-04-01,A0127,Cultivo de plantas para bebidas,178.73
2011-05-01,A0127,Cultivo de plantas para bebidas,177.48
2011-06-01,A0127,Cultivo de plantas para bebidas,170.2
2011-07-01,A0127,Cultivo de plantas para bebidas,164.92
2011-08-01,A0127,Cultivo de plantas para bebidas,163.91
2011-09-01,A0127,Cultivo de plantas para bebidas,171.83
2011-10-01,A0127,Cultivo de plantas para bebidas,175.48
2011-11-01,A0127,Cultivo de plantas para bebidas,171.69
2011-12-01,A0127,Cultivo de plantas para bebidas,172.68
2012-01-01,A0127,Cultivo de plantas para bebidas,172.99
2012-02-01,A0127,Cultivo de plantas para bebidas,173.8
2012-03-01,A0127,Cultivo de plantas para bebidas,178.77
2012-04-01,A0127,Cultivo de plantas para bebidas,188.89
2012-05-01,A0127,Cultivo de plantas para bebidas,187.44
2012-06-01,A0127,Cultivo de plantas para bebidas,160.55
2012-07-01,A0127,Cultivo de plantas para bebidas,146.09
2012-08-01,A0127,Cultivo de plantas para bebidas,150.73
2012-09-01,A0127,Cultivo de plantas para bebidas,149.96
2012-10-01,A0127,Cultivo de plantas para bebidas,143.84
2012-11-01,A0127,Cultivo de plantas para bebidas,141.03
2012-12-01,A0127,Cultivo de plantas para bebidas,128.71
2013-01-01,A0127,Cultivo de plantas para bebidas,131.56
2013-02-01,A0127,Cultivo de plantas para bebidas,134.85
2013-03-01,A0127,Cultivo de plantas para bebidas,139.38
2013-04-01,A0127,Cultivo de plantas para bebidas,146.3
2013-05-01,A0127,Cultivo de plantas para bebidas,133.69
2013-06-01,A0127,Cultivo de plantas para bebidas,131.54
2013-07-01,A0127,Cultivo de plantas para bebidas,123.43
2013-08-01,A0127,Cultivo de plantas para bebidas,119.91
2013-09-01,A0127,Cultivo de plantas para bebidas,132.71
2013-10-01,A0127,Cultivo de plantas para bebidas,139.08
2013-11-01,A0127,Cultivo de plantas para bebidas,149.39
2013-12-01,A0127,Cultivo de plantas para bebidas,150.55
2014-01-01,A0127,Cultivo de plantas para bebidas,152.36
2014-02-01,A0127,Cultivo de plantas para bebidas,153.23
2014-03-01,A0127,Cultivo de plantas para bebidas,157.45
2014-04-01,A0127,Cultivo de plantas para bebidas,161.57
2014-05-01,A0127,Cultivo de plantas para bebidas,162.41
2014-06-01,A0127,Cultivo de plantas para bebidas,148.64
2014-07-01,A0127,Cultivo de plantas para bebidas,138.67
2014-08-01,A0127,Cultivo de plantas para bebidas,140.32
2014-09-01,A0127,Cultivo de plantas para bebidas,134.44
2014-10-01,A0127,Cultivo de plantas para bebidas,130.04
2014-11-01,A0127,Cultivo de plantas para bebidas,137.34
2014-12-01,A0127,Cultivo de plantas para bebidas,136.99
2015-01-01,A0127,Cultivo de plantas para bebidas,127.93
2015-02-01,A0127,Cultivo de plantas para bebidas,120.12
2015-03-01,A0127,Cultivo de plantas para bebidas,116.48
2015-04-01,A0127,Cultivo de plantas para bebidas,117.01
2015-05-01,A0127,Cultivo de plantas para bebidas,116.72
2015-06-01,A0127,Cultivo de plantas para bebidas,113.62
2015-07-01,A0127,Cultivo de plantas para bebidas,108.21
2015-08-01,A0127,Cultivo de plantas para bebidas,96.91
2015-09-01,A0127,Cultivo de plantas para bebidas,93.67
2015-10-01,A0127,Cultivo de plantas para bebidas,105.51
2015-11-01,A0127,Cultivo de plantas para bebidas,109.52
2015-12-01,A0127,Cultivo de plantas para bebidas,109.66
2016-01-01,A0127,Cultivo de plantas para bebidas,112.75
2016-02-01,A0127,Cultivo de plantas para bebidas,92.54
2016-03-01,A0127,Cultivo de plantas para bebidas,94.31
2016-04-01,A0127,Cultivo de plantas para bebidas,93.48
2016-05-01,A0127,Cultivo de plantas para bebidas,98.73
2016-06-01,A0127,Cultivo de plantas para bebidas,98.52
2016-07-01,A0127,Cultivo de plantas para bebidas,103.57
2016-08-01,A0127,Cultivo de plantas para bebidas,109.36
2016-09-01,A0127,Cultivo de plantas para bebidas,106.84
2016-10-01,A0127,Cultivo de plantas para bebidas,99.67
2016-11-01,A0127,Cultivo de plantas para bebidas,96.6
2016-12-01,A0127,Cultivo de plantas para bebidas,98.73
