id_entrega,canton_destino,peso_kg,volumen_m3,distancia_km,num_paradas,hora_salida,lluvia_mm,tipo_vehiculo,experiencia_conductor_meses,carga_previa_pct,incidencias_registradas,entrega_tardia
ENT-01205,Catamayo,779.2,3.763,6.2,1,9,1.6,camioneta,99.0,76.3,0,0
ENT-00241,Loja,68.6,0.233,26.4,7,4,2.0,camion pesado,,53.4,1,1
ENT-01403,Saraguro,13.9,0.074,78.8,4,10,1.6,camion liviano,,83.2,0,1
ENT-02292,Machala,449.8,3.143,27.7,1,14,,camioneta,27.0,90.9,1,1
ENT-01624,Catamayo,75.2,0.49,119.1,4,14,0.9,camioneta,60.0,41.0,3,1
ENT-00247,Catamayo,436.4,1.951,80.5,5,12,0.0,camioneta,12.0,59.1,0,1
ENT-01085,Cariamanga,90.2,0.29,54.3,5,9,0.5,camion pesado,65.0,43.2,2,1
ENT-01629,Machala,374.7,2.469,68.2,12,10,4.3,camion pesado,103.0,50.8,1,1
ENT-00603,Cariamanga,697.0,2.865,68.5,4,9,2.1,camioneta,45.0,44.8,0,0
ENT-00212,Machala,54.5,0.335,13.3,3,10,1.4,camion pesado,79.0,40.7,0,1
ENT-00332,Loja,201.8,0.694,55.1,1,14,0.4,camion pesado,9.0,64.3,0,0
ENT-01771,MACARA,377.6,1.834,19.3,2,9,,camioneta,64.0,27.9,1,1
ENT-01568,Machala,243.7,0.781,54.0,1,9,3.1,camion pesado,43.0,88.2,1,1
ENT-00536,Machala,486.9,2.134,41.2,4,7,1.4,camioneta,,60.1,0,0
ENT-02171,Loja ,264.7,1.214,15.9,4,12,0.0,camioneta,82.0,71.5,0,0
ENT-01433,Loja,357.4,1.795,38.2,3,7,0.6,camion liviano,20.0,30.2,1,1
ENT-00444,Loja,558.5,2.364,43.2,6,11,0.0,camion liviano,30.0,62.5,0,0
ENT-01984,Macara,100.0,0.396,19.3,9,7,3.8,camion liviano,,41.3,0,0
ENT-00135,Loja,310.6,2.139,14.6,5,8,7.0,camioneta,,45.8,2,1
ENT-02786,Macara,159.4,0.603,9.8,11,11,4.1,camioneta,39.0,72.1,0,0
ENT-00271,Saraguro,121.6,0.653,14.0,5,4,1.8,camion liviano,44.0,62.5,2,1
ENT-00258,Saraguro,162.7,0.641,66.0,3,9,0.7,camioneta,6.0,75.7,0,0
ENT-01526,Saraguro,408.0,1.629,14.4,5,5,0.0,camioneta,,58.1,0,1
ENT-01831,Loja,79.2,0.408,71.4,1,13,3.3,camion liviano,94.0,85.8,1,1
ENT-02793,Zamora,178.7,1.101,81.8,3,12,9.5,camion pesado,52.0,35.3,0,0
ENT-02733,Loja,266.9,1.284,44.2,5,12,2.7,camion liviano,,46.3,0,0
ENT-01126,Macara,283.3,1.77,55.9,6,12,2.9,camioneta,42.0,23.0,1,1
ENT-00638,Catamayo,351.0,2.455,56.7,2,7,2.9,camion pesado,51.0,32.1,0,0
ENT-00179,Zamora,186.3,0.612,18.0,3,8,0.6,camioneta,,41.5,1,0
ENT-00053,Loja,18.9,0.063,24.3,4,7,2.8,camioneta,31.0,76.8,0,1
ENT-00843,Macara,194.2,1.039,60.3,1,7,1.0,camioneta,20.0,51.1,2,1
ENT-00568,Macara,220.8,1.032,36.4,3,13,,camion liviano,78.0,77.4,0,0
ENT-01460,Zamora,161.7,0.948,23.6,3,10,,camioneta,24.0,33.2,0,0
ENT-00185,Saraguro,241.6,0.784,29.0,5,8,0.6,camioneta,35.0,83.9,0,0
ENT-00189,Zamora,176.8,0.806,42.1,5,7,0.0,camion liviano,,60.8,1,0
ENT-02528,Saraguro,260.0,1.478,39.7,1,9,0.0,camion liviano,,49.5,3,1
ENT-01903,Macara,386.5,2.629,57.5,1,6,1.8,camioneta,,71.0,3,1
ENT-00860,Loja,238.7,1.435,75.3,8,8,0.0,camion liviano,9.0,50.6,2,1
ENT-02479,Cariamanga,506.2,1.972,49.3,8,11,,camion liviano,49.0,59.9,1,1
ENT-02425,Macara,203.0,1.269,88.3,4,9,2.2,camioneta,149.0,48.4,0,1
ENT-00808,Cariamanga,526.5,2.119,128.9,3,8,2.2,camioneta,21.0,62.6,1,1
ENT-00175,Zamora,98.2,0.372,87.7,2,9,0.0,camion pesado,,19.5,3,1
ENT-01432,Cariamanga,581.7,2.932,12.9,9,7,1.4,camion liviano,65.0,43.3,0,0
ENT-00745,Lója,464.5,2.387,17.7,12,10,12.6,camion pesado,18.0,14.3,0,1
ENT-00001,Macara,238.6,0.987,10.1,1,11,,camioneta,20.0,24.9,0,0
ENT-02603,Loja,714.1,3.61,68.2,8,6,3.4,camioneta,5.0,33.4,1,1
ENT-02671,Saraguro,517.9,2.816,72.6,2,5,1.9,camion pesado,116.0,43.3,0,0
ENT-01875,Saraguro,263.1,1.786,21.7,7,10,1.8,camion liviano,10.0,57.9,0,0
ENT-02823,Catamayo,451.3,3.103,21.9,6,5,0.6,camioneta,85.0,82.1,1,1
ENT-01948,Machala,119.0,0.723,18.7,6,5,0.0,camion pesado,74.0,42.3,3,1
ENT-01208,Saraguro,271.8,1.088,39.9,3,14,2.2,camion pesado,38.0,90.0,0,0
ENT-02112,loja,356.5,1.352,16.7,1,10,0.0,camioneta,51.0,90.3,0,0
ENT-02023,Zamora,310.1,1.291,47.0,7,9,0.6,camion liviano,6.0,21.0,1,1
ENT-01928,Machala,120.9,0.678,1.0,4,9,,camion liviano,16.0,82.7,0,0
ENT-01028,Catamayo,118.2,0.375,35.3,4,9,0.9,camion liviano,,89.7,1,1
ENT-00290,Saraguro,545.3,1.846,33.9,8,11,,camion liviano,,42.1,1,1
ENT-02019,Machala,505.1,1.703,16.0,4,8,2.4,camioneta,,45.6,0,0
ENT-00033,Loja,297.5,1.791,28.6,6,13,4.0,camioneta,21.0,67.5,0,0
ENT-00599,Saraguro,103.5,0.606,18.9,4,11,0.0,camion pesado,6.0,71.2,1,1
ENT-02474,Loja,159.4,0.802,46.1,3,10,1.4,camion pesado,180.0,59.2,4,1
ENT-00015,Catamayo,168.8,0.651,16.1,6,7,0.6,camion pesado,22.0,50.7,4,1
ENT-00094,Catamayo,606.4,3.38,15.9,8,12,2.5,camioneta,19.0,46.5,6,1
ENT-02463,Loja,195.4,0.65,27.3,1,9,0.0,camion liviano,,76.8,0,0
ENT-00292,Macara,591.4,2.957,65.7,2,7,4.1,camion pesado,164.0,60.0,0,0
ENT-00299,Zamora,104.9,0.553,17.9,2,8,12.9,camioneta,14.0,56.4,3,1
ENT-00440,Catamayo,344.1,2.271,13.0,5,10,2.1,camion pesado,6.0,42.0,3,1
ENT-01300,Cariamanga,327.2,1.074,95.8,4,12,0.0,camioneta,,42.3,1,0
ENT-02777,Machala,468.0,1.913,9.3,2,13,0.7,camioneta,72.0,63.5,0,0
ENT-02738,Catamayo,454.9,2.29,13.8,1,7,1.2,camion pesado,42.0,38.4,1,1
ENT-02591,Zamora,576.1,3.467,67.5,5,10,6.0,camion liviano,28.0,69.8,1,1
ENT-01314,Loja,454.2,2.286,29.1,9,8,0.0,camioneta,73.0,84.9,0,0
ENT-00219,Machala,303.2,1.216,25.0,4,8,,camion liviano,45.0,67.4,3,1
ENT-01847,Zamora,380.9,1.507,53.8,4,11,10.8,camioneta,,43.1,4,1
ENT-01951,Machala,322.1,1.055,25.1,4,5,1.7,camioneta,63.0,81.0,0,1
ENT-01675,Catamayo,87.0,0.298,36.4,3,6,2.5,camion pesado,101.0,42.5,0,0
ENT-00464,Zamora,118.2,0.427,27.2,2,6,1.8,camion pesado,27.0,58.1,0,0
ENT-02948,Zamora,-1.0,2.59,9.9,4,12,6.3,camion liviano,76.0,72.7,3,1
ENT-01742,Loja,177.1,0.896,8.3,10,9,1.6,camion pesado,,74.9,2,1
ENT-02928,Zamora,373.9,1.848,81.4,3,11,2.8,camion pesado,120.0,63.7,0,1
ENT-01104,MACARA,191.0,0.973,30.7,1,10,5.0,camion liviano,72.0,58.5,0,0
ENT-01351,Zamora,399.5,1.422,79.7,13,4,2.0,camion pesado,11.0,38.1,3,1
ENT-00888,Zamora,198.5,0.83,83.8,4,12,5.6,camion liviano,65.0,61.1,3,1
ENT-01897,MACARA,101.3,0.332,19.4,6,9,0.0,camioneta,23.0,48.1,0,0
ENT-02079,Catamayo,211.2,0.753,86.4,6,12,0.1,camioneta,,69.8,0,0
ENT-02761,Zamora,151.2,0.629,52.6,5,10,0.6,camion liviano,,48.4,0,0
ENT-02790,Saraguro,674.9,2.604,49.2,9,7,0.2,camioneta,,61.4,0,1
ENT-01062,Macara,320.1,1.975,8.1,4,9,0.3,camioneta,34.0,9.7,3,1
ENT-00938,Macara,212.4,1.06,11.3,5,10,6.9,camioneta,27.0,33.5,1,1
ENT-02326,Cariamanga,157.4,0.567,29.8,4,8,0.8,camion liviano,,63.5,0,0
ENT-00195,Machala,466.6,2.286,15.1,2,11,2.2,camion pesado,21.0,87.6,1,1
ENT-00820,machala,613.9,2.555,15.9,2,9,2.4,camion liviano,82.0,82.8,0,0
ENT-00472,Zamora,269.4,1.496,59.0,3,7,2.9,camion liviano,,42.4,0,0
ENT-00930,Catamayo,180.9,0.724,51.2,3,11,1.8,camion liviano,68.0,41.6,0,0
ENT-02869,Cariamanga,291.8,1.128,47.3,8,5,0.0,camioneta,55.0,54.3,0,1
ENT-00431,Loja,545.7,3.747,99.2,1,7,1.7,camion liviano,62.0,44.0,2,1
ENT-01488,Saraguro,203.3,1.188,25.9,4,8,1.1,camioneta,73.0,26.0,0,0
ENT-01747,Catamayo,-1.0,1.633,4.4,5,11,1.0,camion liviano,42.0,48.7,0,0
ENT-01424,Cariamanga,101.8,0.55,31.3,3,8,2.6,camioneta,30.0,88.8,2,1
ENT-02415,Loja,105.4,0.394,13.6,4,8,0.0,camion liviano,31.0,81.8,2,1
ENT-02283,Cariamanga,107.0,0.378,24.9,4,11,0.0,camioneta,,11.1,5,1
ENT-01468,Zamora,639.6,2.962,26.6,1,9,1.5,camioneta,,18.7,0,0
ENT-01912,Zamora,85.2,0.37,34.3,7,7,0.4,camion pesado,,27.6,0,0
ENT-02339,Cariamanga,288.4,1.371,92.4,17,11,0.0,camion liviano,51.0,32.4,3,1
ENT-02058,Machala,231.2,1.486,47.0,1,4,4.2,camioneta,21.0,92.9,1,1
ENT-02714,Machala,61.7,0.242,53.9,17,10,2.8,camioneta,80.0,76.1,1,1
ENT-02608,MACARA,839.0,3.518,2.0,4,14,0.0,camion liviano,170.0,53.0,0,0
ENT-01345,Catamayo,103.3,0.356,48.6,3,10,0.0,camion pesado,52.0,78.8,0,0
ENT-01513,Saraguro,114.1,0.693,9.1,2,9,3.2,camion pesado,41.0,11.2,1,0
ENT-01663,MACARA,153.3,0.852,103.7,5,13,1.3,camion pesado,40.0,26.4,1,1
ENT-02600,Catamayo,285.9,2.018,6.1,2,6,0.1,camion pesado,62.0,54.2,2,1
ENT-00046,Loja,378.5,1.361,52.6,2,12,3.6,camion pesado,55.0,36.7,5,1
ENT-02178,Saraguro,153.9,0.486,21.4,1,11,0.0,camion liviano,44.0,71.4,0,0
ENT-00901,Cariamanga,256.1,0.887,85.7,4,14,0.2,camion liviano,162.0,31.9,0,0
ENT-00257,Macara,152.0,1.083,33.9,4,9,4.0,camion liviano,15.0,58.9,0,0
ENT-00795,Catamayo,119.4,0.429,36.5,9,13,0.0,camion liviano,7.0,53.2,2,1
ENT-02359,Lója,222.1,1.03,15.1,4,9,10.2,camion pesado,71.0,92.8,0,1
ENT-02893,Machala,127.7,0.578,36.5,4,11,2.7,camion liviano,73.0,53.1,0,0
ENT-02935,Catamayo,1107.9,3.968,4.8,5,8,0.0,camion liviano,,92.3,0,0
ENT-02648,LOJA,125.1,0.616,28.7,7,9,,camion pesado,75.0,79.7,3,1
ENT-00875,LOJA,154.6,0.575,20.7,2,14,0.4,camioneta,,50.4,0,0
ENT-02334,Machala,442.7,2.094,53.0,5,8,1.4,camioneta,86.0,71.5,0,0
ENT-02762,Zamora,198.6,0.841,9.9,5,5,2.5,camioneta,32.0,56.4,1,0
ENT-00512,Loja,889.2,3.138,12.9,3,9,0.7,camion pesado,52.0,37.7,1,0
ENT-01602,Zamora,485.9,3.132,32.2,7,10,0.3,camion liviano,57.0,33.5,1,1
ENT-00573,Catamayo,586.8,2.458,41.0,9,11,4.2,camion liviano,27.0,50.0,2,1
ENT-02111,Machala,596.4,3.741,31.9,21,9,1.6,camion liviano,,33.7,2,1
ENT-01076,Saraguro,486.3,1.528,37.9,2,9,0.7,camioneta,149.0,88.0,0,0
ENT-01785,Cariamanga,116.5,0.527,14.0,3,12,8.1,camioneta,15.0,78.7,4,1
ENT-02466,Machala,275.3,1.138,84.4,5,12,0.7,camion liviano,49.0,41.9,0,1
ENT-00846,Loja,325.4,2.229,64.3,12,11,0.0,camioneta,118.0,42.4,1,1
ENT-02287,Macara,369.8,1.178,27.9,2,8,0.6,camioneta,87.0,51.8,0,0
ENT-00458,Machala,173.3,0.601,39.2,9,7,0.1,camion liviano,,15.7,2,1
ENT-00434,machala,651.4,2.776,33.5,3,6,2.2,camion liviano,24.0,61.6,0,1
ENT-01713,Zamora,284.4,1.419,31.8,3,9,5.4,camion pesado,17.0,42.9,0,1
ENT-02625,Loja,242.0,1.047,18.2,1,7,2.0,camioneta,,53.5,1,1
ENT-00322,Loja,224.3,0.79,12.3,9,11,2.3,camion liviano,78.0,47.7,0,0
ENT-00701,Macara,487.8,1.566,52.5,8,12,3.2,camion pesado,61.0,87.5,0,1
ENT-02780,Machala,520.2,2.531,20.4,6,8,1.9,camioneta,,69.3,0,0
ENT-02897,Cariamanga,572.5,3.126,62.3,3,14,1.8,camioneta,34.0,16.5,0,1
ENT-01538,Loja,122.1,0.656,16.4,3,11,3.0,camioneta,30.0,80.2,0,0
ENT-00679,Machala,262.3,0.894,30.1,4,8,5.2,camioneta,,68.3,2,1
ENT-02686,Cariamanga,347.5,1.701,23.9,8,15,0.0,camioneta,19.0,50.9,0,0
ENT-00176,Macara,89.6,0.609,53.9,7,12,1.1,camion liviano,,55.0,2,1
ENT-02909,Cariamanga,149.8,0.532,65.3,6,6,2.1,camion liviano,43.0,57.0,1,1
ENT-01147,Saraguro,268.5,1.207,27.2,3,6,0.5,camion liviano,37.0,69.3,0,0
ENT-01271,Zamora,221.1,0.789,176.5,7,5,0.0,camioneta,,41.5,3,1
ENT-02107,Saraguro,205.0,0.652,21.6,1,8,2.9,camion pesado,80.0,40.2,0,0
ENT-01344,Macara,513.0,3.4,5.6,2,7,1.7,camioneta,96.0,55.6,2,1
ENT-02756,Zamora,113.6,0.418,20.4,3,10,0.0,camion liviano,72.0,47.4,0,0
ENT-01114,Catamayo,318.0,2.223,9999.0,5,5,1.2,camioneta,84.0,28.0,0,0
ENT-02346,Macara,580.5,1.86,31.5,7,5,1.2,camion pesado,91.0,32.6,3,1
ENT-01030,Macara,333.8,1.635,18.0,2,9,0.2,camioneta,2.0,50.2,1,1
ENT-02596,Cariamanga,368.8,1.431,53.2,7,12,4.6,camion liviano,14.0,68.7,0,1
ENT-00643,Machala,210.9,0.931,16.2,2,11,0.0,camioneta,,45.0,2,1
ENT-02922,Macara,268.1,1.576,16.7,2,6,3.8,camion liviano,,32.2,1,0
ENT-02808,Zamora,86.6,0.316,27.7,3,10,0.0,camioneta,,87.3,0,0
ENT-01339,Saraguro,837.9,2.676,5.7,1,12,1.6,camion pesado,,69.4,0,0
ENT-00728,Cariamanga,452.0,2.74,28.9,11,10,0.3,camioneta,34.0,20.8,0,0
ENT-00197,Catamayo,204.9,0.94,8.2,5,7,2.9,camion liviano,25.0,40.0,1,1
ENT-02758,Machala,311.8,0.991,64.2,5,4,0.8,camioneta,,58.9,0,0
ENT-00171,Catamayo,262.8,1.28,40.8,7,11,0.5,camioneta,36.0,49.8,0,1
ENT-00622,Cariamanga,90.1,0.533,42.1,2,8,1.1,camion liviano,20.0,66.9,0,0
ENT-02837,Catamayo,550.8,1.907,51.1,6,11,0.0,camion liviano,39.0,28.4,2,1
ENT-00089,Macara,456.9,2.209,35.3,3,14,2.9,camion liviano,,8.1,1,0
ENT-00556,Zamora,508.5,2.956,10.1,4,5,2.2,camion liviano,106.0,81.0,0,0
ENT-01158,Macara,283.0,0.996,60.6,3,9,0.0,camion liviano,56.0,28.2,1,1
ENT-01748,Catamayo,407.0,1.491,30.4,4,10,0.0,camioneta,13.0,69.2,0,1
ENT-02210,Zamora,627.6,4.225,7.9,14,8,3.0,camion liviano,,72.5,0,0
ENT-00480,Zamora,359.1,2.152,25.4,1,4,1.3,camioneta,,84.5,1,1
ENT-00818,Machala,734.3,2.923,56.2,7,7,4.8,camioneta,29.0,57.3,5,1
ENT-00409,Saraguro,444.9,1.764,39.7,9,15,1.3,camion pesado,,64.0,0,1
ENT-00333,Macara,78.0,0.244,56.9,5,13,2.8,camioneta,26.0,58.6,1,1
ENT-02132,Macara,282.9,1.186,16.2,2,7,0.0,camioneta,,34.9,0,0
ENT-02802,Loja,417.0,2.116,2.4,6,10,0.0,camioneta,69.0,61.0,1,0
ENT-00153,Macara,478.7,2.607,14.5,7,9,0.4,camion pesado,,24.3,0,0
ENT-01279,Zamora,199.3,0.789,42.8,2,8,1.5,camioneta,36.0,64.7,0,0
ENT-02773,Macara,643.5,2.262,28.4,10,12,0.5,camion pesado,37.0,83.2,2,1
ENT-02636,Saraguro,123.3,0.398,14.9,5,14,0.7,camioneta,185.0,38.7,0,0
ENT-00026,Machala,205.6,0.938,26.5,5,9,2.8,camion liviano,49.0,35.9,0,1
ENT-02834,Catamayo,286.3,0.917,67.9,5,8,0.8,camion pesado,,44.8,1,1
ENT-01262,Cariamanga,59.7,0.28,26.6,4,6,3.0,camion liviano,16.0,91.7,2,1
ENT-01833,Loja ,97.4,0.414,23.5,7,7,0.0,camion liviano,16.0,92.1,2,1
ENT-01887,Loja,203.8,0.677,27.6,5,10,1.8,camion liviano,55.0,74.3,0,0
ENT-02959,Machala,215.8,0.909,88.6,1,8,2.2,camion liviano,,58.2,3,1
ENT-01323,Machala,71.1,0.356,43.0,3,9,1.4,camion liviano,44.0,17.9,0,0
ENT-02985,Catamayo,82.0,0.53,62.6,5,11,0.8,camioneta,42.0,48.6,1,1
ENT-02723,Zamora,137.6,0.564,40.3,4,8,1.5,camioneta,,36.4,0,0
ENT-00417,Catamayo,396.4,1.302,48.1,2,13,2.9,camioneta,43.0,39.1,6,1
ENT-00830,Machala,249.1,0.888,18.9,5,6,1.9,camion liviano,119.0,40.3,3,1
ENT-00651,Cariamanga,273.6,0.956,36.4,5,10,0.1,camion liviano,,41.3,0,0
ENT-00347,Saraguro,142.9,0.505,65.0,2,9,3.8,camion liviano,,92.0,0,1
ENT-00870,Loja,90.0,0.302,119.8,7,12,1.2,camion liviano,11.0,45.6,3,1
ENT-00315,Cariamanga,571.0,2.189,34.7,5,8,,camion liviano,33.0,54.2,2,1
ENT-01375,Macara,499.6,1.586,7.0,4,10,0.9,camion pesado,6.0,67.5,1,1
ENT-00068,Machala,170.8,0.914,32.4,2,12,1.6,camioneta,30.0,68.9,0,0
ENT-00565,Machala,348.0,2.11,15.5,3,5,0.0,camion liviano,50.0,71.2,0,0
ENT-00252,Zamora,252.8,1.247,24.3,6,13,0.5,camioneta,,5.9,0,0
ENT-02008,Cariamanga,365.3,2.016,29.1,5,10,2.0,camion liviano,,56.7,4,1
ENT-01049,Zamora,68.6,0.41,25.1,3,14,1.9,camion liviano,33.0,40.1,0,0
ENT-02580,Loja,153.4,0.63,50.2,4,13,0.5,camion liviano,41.0,90.0,1,0
ENT-00371,Machala,613.8,1.921,59.4,3,7,4.5,camion liviano,32.0,42.2,0,1
ENT-01012,Saraguro,178.3,0.75,24.5,15,5,0.2,camion liviano,27.0,87.9,1,1
ENT-01614,Saraguro,217.7,1.405,29.0,2,7,0.1,camioneta,70.0,19.8,2,1
ENT-01881,Loja,149.6,0.65,3.5,8,6,7.8,camion liviano,31.0,96.2,0,1
ENT-00433,Zamora,47.8,0.265,62.2,6,10,2.6,camioneta,83.0,51.4,1,1
ENT-02430,Loja,224.4,0.91,36.5,9,12,1.4,camioneta,23.0,72.6,3,1
ENT-00945,Machala,436.0,1.554,8.6,2,13,0.0,camion liviano,60.0,24.6,0,0
ENT-00125,Machala,48.1,0.191,54.3,4,10,0.0,camioneta,14.0,63.8,0,0
ENT-02516,Macara,196.1,0.821,83.6,2,16,0.0,camion liviano,13.0,67.7,3,1
ENT-02916,Saraguro,288.0,1.857,18.7,2,7,3.7,camion pesado,31.0,25.4,2,1
ENT-01242,Cariamanga,111.5,0.602,22.3,4,10,0.0,camioneta,68.0,61.3,2,1
ENT-02244,Catamayo,97.6,0.316,29.2,5,12,3.1,camion liviano,54.0,57.8,0,0
ENT-01363,MACARA,283.3,1.447,23.6,7,8,1.3,camion liviano,74.0,53.3,0,0
ENT-01707,Catamayo,77.3,0.382,55.3,10,14,7.1,camion liviano,,44.8,0,0
ENT-02867,Machala,471.5,3.22,49.2,5,7,2.5,camion liviano,55.0,41.9,0,0
