volumen_mensual,frecuencia_pedidos_mes,distancia_bodega_km,sku_distintos,morosidad_dias,canal_recomendado
2341,9,38.6,33,14,vendedor_ruta
2034,9,23.2,19,7,vendedor_ruta
2591,4,82.3,83,4,distribuidor
4368,13,29.5,91,3,vendedor_ruta
3562,4,39.4,85,16,vendedor_ruta
1493,3,54.1,70,17,autoservicio
590,14,12.9,53,8,vendedor_ruta
3735,16,34.9,73,9,vendedor_ruta
1514,6,27.2,79,14,autoservicio
2016,13,35.8,82,6,vendedor_ruta
3330,12,45.5,164,3,vendedor_ruta
3662,9,11.1,30,5,vendedor_ruta
3208,14,80.1,188,1,vendedor_ruta
5138,8,24.0,17,19,vendedor_ruta
1867,11,18.0,80,9,vendedor_ruta
1181,4,1.9,20,4,vendedor_ruta
931,4,51.7,77,7,autoservicio
1232,14,43.4,102,1,vendedor_ruta
1270,11,19.9,66,1,autoservicio
2233,8,3.9,102,6,vendedor_ruta
2767,17,24.8,49,5,vendedor_ruta
828,17,6.3,5,1,autoservicio
3337,11,48.2,89,1,vendedor_ruta
3545,3,19.4,66,2,distribuidor
2811,9,10.3,47,12,distribuidor
1368,6,28.0,49,1,autoservicio
4268,9,31.0,80,5,vendedor_ruta
1843,5,33.7,34,10,autoservicio
1071,4,10.9,79,10,autoservicio
821,1,45.3,110,3,autoservicio
2111,10,19.8,143,3,distribuidor
1386,1,2.7,118,1,vendedor_ruta
648,8,21.6,71,66,autoservicio
495,12,21.4,75,6,autoservicio
2330,6,21.1,50,12,vendedor_ruta
567,5,28.4,47,1,autoservicio
208,9,68.9,98,32,autoservicio
3578,6,22.1,53,0,distribuidor
907,10,24.2,79,1,distribuidor
2580,5,14.9,28,3,vendedor_ruta
2081,9,22.1,117,0,distribuidor
1160,8,34.2,53,1,autoservicio
4572,9,34.8,106,4,distribuidor
2853,16,57.0,38,2,vendedor_ruta
1764,10,3.6,36,7,vendedor_ruta
975,11,41.9,115,12,autoservicio
2707,7,37.7,41,1,vendedor_ruta
2985,10,5.5,5,3,vendedor_ruta
1955,8,56.1,25,7,autoservicio
1796,9,6.8,98,7,vendedor_ruta
2848,12,34.9,94,12,vendedor_ruta
1735,7,2.8,36,1,autoservicio
1056,7,10.2,41,11,autoservicio
604,7,35.7,91,8,autoservicio
1745,7,36.7,115,12,autoservicio
588,10,20.5,62,7,autoservicio
3009,8,59.7,86,4,vendedor_ruta
1745,15,35.1,98,1,vendedor_ruta
3309,20,46.1,147,15,vendedor_ruta
2189,7,21.2,21,2,vendedor_ruta
2587,10,8.9,40,5,vendedor_ruta
1131,13,8.8,46,4,vendedor_ruta
1665,8,17.7,96,19,vendedor_ruta
2169,5,10.6,55,23,autoservicio
2005,16,10.0,77,1,vendedor_ruta
1947,12,4.5,70,1,distribuidor
813,10,18.6,65,8,distribuidor
388,15,4.4,69,3,vendedor_ruta
767,12,18.3,104,1,vendedor_ruta
151,9,3.2,28,3,autoservicio
443,5,17.0,59,2,autoservicio
2274,7,34.2,19,8,vendedor_ruta
1517,14,10.3,74,9,vendedor_ruta
1008,12,28.7,58,16,autoservicio
1496,8,27.3,106,3,autoservicio
312,16,13.0,65,5,vendedor_ruta
1715,8,4.2,48,9,vendedor_ruta
643,13,42.1,56,7,vendedor_ruta
3892,10,13.0,130,3,distribuidor
2665,17,65.1,5,12,vendedor_ruta
2518,12,40.6,41,5,vendedor_ruta
1981,9,35.9,66,8,vendedor_ruta
2815,8,6.6,41,1,vendedor_ruta
1721,9,36.0,84,14,vendedor_ruta
987,6,49.8,63,0,autoservicio
2546,4,24.4,75,6,distribuidor
3425,10,29.0,69,6,distribuidor
851,7,34.4,61,5,autoservicio
500,7,53.7,16,12,autoservicio
5431,9,31.0,72,10,distribuidor
4203,9,33.6,5,5,vendedor_ruta
1851,9,28.0,39,2,autoservicio
245,16,66.4,84,1,autoservicio
2177,12,24.9,110,1,vendedor_ruta
7222,17,33.4,154,5,distribuidor
2800,7,55.9,49,1,vendedor_ruta
2651,12,16.1,32,14,vendedor_ruta
1757,7,74.7,85,4,autoservicio
2496,7,14.8,136,10,autoservicio
2791,18,10.4,123,26,vendedor_ruta
2057,6,34.1,26,7,autoservicio
1584,1,14.1,60,3,autoservicio
2080,6,64.4,97,2,autoservicio
2015,1,90.6,100,9,autoservicio
294,5,10.8,87,10,autoservicio
6384,6,9.9,48,2,distribuidor
2652,9,9.5,87,1,distribuidor
3796,1,2.7,100,8,distribuidor
2228,14,13.8,30,2,autoservicio
1256,1,48.3,116,4,autoservicio
3298,8,35.4,103,8,vendedor_ruta
474,8,19.8,37,9,autoservicio
2723,12,32.5,100,14,vendedor_ruta
3274,10,7.2,96,27,distribuidor
1736,14,24.8,97,7,vendedor_ruta
2553,8,28.3,125,3,distribuidor
299,7,27.0,65,32,autoservicio
2628,11,13.4,78,1,distribuidor
1434,13,13.0,5,0,vendedor_ruta
2562,12,37.8,107,7,distribuidor
1789,10,36.1,104,5,distribuidor
1774,10,2.9,117,8,distribuidor
2614,9,2.8,29,6,vendedor_ruta
1485,11,86.0,102,0,autoservicio
1729,17,29.0,104,4,vendedor_ruta
5577,8,27.1,40,15,distribuidor
3955,8,11.2,105,2,distribuidor
1584,7,17.9,83,16,autoservicio
1813,11,14.4,5,6,vendedor_ruta
1192,1,48.5,87,3,autoservicio
1437,8,47.0,36,4,autoservicio
1486,13,29.4,5,2,vendedor_ruta
1989,7,26.1,79,7,distribuidor
339,10,33.2,63,3,autoservicio
1409,17,25.8,118,13,vendedor_ruta
1246,10,37.8,72,1,vendedor_ruta
4284,1,59.5,95,8,distribuidor
1799,3,22.2,84,4,distribuidor
2172,8,11.3,104,4,vendedor_ruta
1381,6,26.3,31,11,autoservicio
1809,9,14.9,73,1,distribuidor
1437,8,8.8,60,8,vendedor_ruta
2009,14,53.9,90,12,vendedor_ruta
2550,5,25.2,75,6,autoservicio
667,8,17.8,42,2,autoservicio
2784,10,28.2,52,7,vendedor_ruta
920,10,15.9,128,10,vendedor_ruta
5698,10,55.0,5,1,vendedor_ruta
1981,1,85.4,92,2,autoservicio
2153,9,16.6,112,8,distribuidor
2209,8,21.3,87,7,distribuidor
1898,12,31.0,140,8,vendedor_ruta
1109,12,7.9,101,0,autoservicio
2156,10,3.4,80,2,vendedor_ruta
2076,10,50.9,47,17,distribuidor
1014,14,17.5,80,2,vendedor_ruta
674,14,16.2,91,3,vendedor_ruta
3285,10,32.5,65,7,vendedor_ruta
1408,18,11.3,37,9,vendedor_ruta
1650,6,16.0,19,12,autoservicio
2082,4,8.0,72,9,distribuidor
1087,9,4.2,9,7,vendedor_ruta
2279,8,15.8,47,3,vendedor_ruta
1704,1,11.2,5,18,autoservicio
1814,6,10.0,97,2,autoservicio
3691,10,24.1,109,22,vendedor_ruta
2032,9,40.7,68,3,autoservicio
1595,6,41.3,135,12,autoservicio
859,9,40.1,116,17,autoservicio
2202,9,12.7,83,2,vendedor_ruta
3201,12,22.3,61,1,vendedor_ruta
1614,6,15.2,52,13,vendedor_ruta
3185,12,12.8,86,5,vendedor_ruta
2222,5,13.5,60,6,autoservicio
1928,7,9.2,86,4,vendedor_ruta
2399,16,28.4,89,2,vendedor_ruta
696,5,49.1,56,2,autoservicio
1423,6,14.9,107,3,distribuidor
1461,4,13.6,56,15,vendedor_ruta
1662,6,3.3,66,4,autoservicio
5139,10,35.8,28,11,distribuidor
1971,12,2.5,55,13,autoservicio
611,9,25.0,147,1,autoservicio
1193,8,11.8,31,10,autoservicio
1815,4,19.1,82,0,vendedor_ruta
2027,6,26.0,48,2,autoservicio
143,3,24.9,5,3,autoservicio
2534,12,45.1,86,5,vendedor_ruta
2604,12,2.6,44,6,vendedor_ruta
830,9,41.4,77,1,autoservicio
3145,11,26.9,103,0,vendedor_ruta
1606,13,48.3,74,2,vendedor_ruta
956,9,23.7,77,3,autoservicio
784,15,6.1,32,3,vendedor_ruta
2500,5,21.2,92,21,distribuidor
1251,8,35.1,58,7,autoservicio
2168,7,39.6,5,1,vendedor_ruta
766,12,21.8,96,3,autoservicio
1473,3,19.8,108,4,autoservicio
2397,15,26.5,121,11,vendedor_ruta
3621,11,44.1,147,6,distribuidor
3865,16,16.1,94,1,vendedor_ruta
3576,9,31.1,85,14,vendedor_ruta
7485,7,70.4,106,4,distribuidor
2190,12,101.4,31,5,autoservicio
748,13,43.9,5,18,vendedor_ruta
1213,6,19.3,47,0,autoservicio
3800,1,7.9,114,3,distribuidor
1101,2,29.9,40,1,autoservicio
101,10,60.3,83,0,autoservicio
1512,15,21.8,87,4,vendedor_ruta
3104,4,47.4,74,24,vendedor_ruta
1196,8,44.9,16,5,autoservicio
3917,8,23.6,78,20,distribuidor
5448,17,42.2,49,3,vendedor_ruta
2155,18,8.7,130,8,vendedor_ruta
6042,11,20.1,108,3,distribuidor
4619,13,32.4,50,18,vendedor_ruta
3166,12,23.2,132,10,vendedor_ruta
2348,4,9.6,78,7,vendedor_ruta
2213,12,42.2,5,8,vendedor_ruta
1741,5,32.2,62,1,autoservicio
2662,8,26.7,127,2,vendedor_ruta
326,14,54.3,34,1,autoservicio
4748,9,42.8,62,4,vendedor_ruta
6107,13,1.6,13,4,vendedor_ruta
302,14,27.1,19,18,autoservicio
3045,2,26.5,33,4,vendedor_ruta
4512,1,18.0,18,3,distribuidor
2018,14,2.7,42,1,vendedor_ruta
1681,14,12.3,131,3,vendedor_ruta
1429,10,1.9,64,5,distribuidor
1240,11,86.5,95,5,autoservicio
2280,13,23.3,106,5,vendedor_ruta
3897,12,33.7,23,1,vendedor_ruta
363,8,9.4,33,2,autoservicio
887,13,3.0,94,13,vendedor_ruta
1175,8,16.9,41,3,autoservicio
539,10,15.1,92,0,autoservicio
2833,10,28.1,129,15,distribuidor
2592,6,17.6,10,2,autoservicio
3290,6,99.0,51,6,vendedor_ruta
248,18,48.9,57,5,vendedor_ruta
3040,5,63.7,45,16,vendedor_ruta
3883,10,23.4,42,32,vendedor_ruta
2870,11,27.7,46,4,vendedor_ruta
1908,9,59.8,64,10,autoservicio
1727,12,16.5,71,7,vendedor_ruta
2431,10,32.5,101,9,vendedor_ruta
2245,6,17.6,64,3,vendedor_ruta
1203,11,33.8,107,39,vendedor_ruta
272,7,6.9,43,2,autoservicio
1334,16,14.5,19,8,autoservicio
5673,11,28.2,53,2,vendedor_ruta
317,6,30.7,83,3,autoservicio
2220,10,39.4,98,7,vendedor_ruta
4853,5,8.3,120,0,distribuidor
3342,10,27.4,76,22,distribuidor
3675,8,5.1,94,14,vendedor_ruta
3415,6,18.4,117,10,distribuidor
545,6,24.0,35,0,autoservicio
4317,19,21.3,57,5,vendedor_ruta
4703,9,69.2,170,2,distribuidor
701,7,24.2,98,5,vendedor_ruta
1420,7,35.6,84,3,vendedor_ruta
2038,11,28.2,99,14,vendedor_ruta
1433,6,23.0,14,14,autoservicio
1123,5,33.8,40,8,autoservicio
1144,9,26.4,27,3,vendedor_ruta
3033,9,24.7,81,8,vendedor_ruta
3605,7,19.7,51,6,vendedor_ruta
1147,5,16.5,69,2,autoservicio
3590,7,14.6,53,2,distribuidor
1428,7,24.8,5,6,vendedor_ruta
742,7,23.5,99,2,autoservicio
2392,10,58.6,5,5,vendedor_ruta
1975,18,6.2,37,23,vendedor_ruta
2452,14,72.8,15,8,vendedor_ruta
2425,17,8.5,32,4,vendedor_ruta
2259,7,22.8,73,19,vendedor_ruta
1820,16,30.9,112,12,vendedor_ruta
3539,10,10.4,6,0,vendedor_ruta
2887,13,8.3,44,0,vendedor_ruta
1465,11,20.9,5,25,autoservicio
1439,8,36.2,42,4,autoservicio
503,12,43.2,68,12,autoservicio
576,11,7.2,94,1,autoservicio
1731,2,20.2,5,2,autoservicio
3257,9,4.2,86,1,distribuidor
1006,12,10.6,28,4,autoservicio
2971,10,51.6,19,1,vendedor_ruta
2206,11,29.7,68,2,vendedor_ruta
1056,6,11.4,89,11,autoservicio
2025,10,48.4,61,21,vendedor_ruta
1972,9,12.9,23,4,vendedor_ruta
1092,8,22.4,61,4,autoservicio
2846,6,3.3,37,7,distribuidor
3459,13,11.5,88,9,vendedor_ruta
1560,10,27.7,106,3,vendedor_ruta
801,10,26.7,103,3,autoservicio
3565,17,16.4,64,11,distribuidor
545,11,20.7,108,4,vendedor_ruta
2335,14,38.2,26,8,vendedor_ruta
1005,10,19.5,133,9,vendedor_ruta
747,8,31.0,26,1,autoservicio
1311,5,14.3,5,14,autoservicio
1970,10,22.2,117,19,vendedor_ruta
880,1,3.0,38,3,autoservicio
648,10,15.2,69,8,vendedor_ruta
406,10,24.1,26,9,autoservicio
4855,8,21.2,155,10,distribuidor
2460,9,14.3,134,1,distribuidor
1062,4,9.5,124,4,autoservicio
2541,15,24.7,68,15,vendedor_ruta
1957,8,20.6,102,9,vendedor_ruta
3039,5,28.8,63,0,distribuidor
1649,11,12.6,108,0,vendedor_ruta
3387,9,34.1,49,6,vendedor_ruta
1181,8,8.2,125,5,vendedor_ruta
2194,7,5.6,47,1,vendedor_ruta
3254,9,51.9,52,4,vendedor_ruta
2266,14,8.7,47,3,vendedor_ruta
5788,11,24.9,72,4,distribuidor
3002,9,17.8,50,2,vendedor_ruta
2513,12,52.8,84,6,vendedor_ruta
1485,9,35.1,47,12,vendedor_ruta
2225,11,5.7,95,1,vendedor_ruta
4009,10,63.4,123,3,distribuidor
1353,11,43.8,68,18,autoservicio
978,7,16.1,149,4,distribuidor
1358,4,8.1,108,3,autoservicio
1306,13,26.2,146,13,vendedor_ruta
2740,15,27.3,63,1,vendedor_ruta
5374,5,3.6,5,5,distribuidor
568,10,24.8,38,16,autoservicio
235,7,41.4,42,3,autoservicio
1995,13,23.8,29,2,vendedor_ruta
883,10,21.0,5,3,autoservicio
2401,22,19.1,104,3,vendedor_ruta
2588,8,11.3,5,2,vendedor_ruta
1310,15,47.2,100,22,vendedor_ruta
2789,16,16.9,148,2,distribuidor
1155,11,26.2,35,5,autoservicio
1153,9,6.7,80,10,vendedor_ruta
1024,9,20.5,50,2,autoservicio
1369,9,32.0,96,10,vendedor_ruta
1864,14,16.6,20,16,vendedor_ruta
1725,6,16.9,60,4,vendedor_ruta
2119,8,22.1,108,8,distribuidor
2698,8,31.1,63,8,vendedor_ruta
2137,2,24.7,5,5,autoservicio
4797,12,79.0,112,2,distribuidor
1956,13,52.0,16,26,autoservicio
3103,6,14.1,68,2,vendedor_ruta
502,13,45.5,87,6,autoservicio
2119,3,3.6,70,9,distribuidor
1711,9,17.8,161,4,distribuidor
1605,8,5.3,93,7,vendedor_ruta
3958,9,33.6,57,6,vendedor_ruta
5927,9,16.6,88,3,distribuidor
2716,9,7.6,73,2,vendedor_ruta
401,7,38.6,67,1,autoservicio
1261,9,8.7,74,12,autoservicio
582,14,36.1,49,27,vendedor_ruta
2082,7,26.8,73,8,vendedor_ruta
2494,18,19.1,46,11,vendedor_ruta
464,6,42.2,5,7,autoservicio
4399,10,10.3,108,5,vendedor_ruta
737,11,4.2,44,5,autoservicio
2418,8,8.2,70,1,distribuidor
4339,15,78.3,36,8,vendedor_ruta
2109,11,11.4,37,2,vendedor_ruta
1100,8,15.8,26,13,autoservicio
1052,14,59.9,101,6,vendedor_ruta
2147,5,15.8,110,2,vendedor_ruta
3107,7,34.3,66,2,vendedor_ruta
2362,11,64.5,45,1,vendedor_ruta
1034,12,30.5,5,7,vendedor_ruta
1683,10,21.7,95,3,vendedor_ruta
927,8,39.5,39,0,autoservicio
918,8,2.3,23,0,autoservicio
880,14,15.7,66,6,vendedor_ruta
1429,10,52.6,52,4,vendedor_ruta
1808,6,11.6,7,2,vendedor_ruta
1956,5,24.6,13,1,autoservicio
2280,15,34.6,78,5,vendedor_ruta
1080,6,17.4,40,3,autoservicio
1834,10,34.9,84,3,vendedor_ruta
1992,14,26.9,71,1,vendedor_ruta
3741,11,120.4,105,16,vendedor_ruta
478,6,40.0,33,19,autoservicio
605,5,26.9,74,4,autoservicio
2628,16,3.0,89,5,vendedor_ruta
2808,5,12.4,41,5,distribuidor
2635,7,8.8,108,7,vendedor_ruta
2617,10,58.8,5,0,vendedor_ruta
522,8,7.8,33,16,vendedor_ruta
5380,11,17.2,5,8,distribuidor
3479,3,29.3,37,4,autoservicio
529,8,14.4,59,4,autoservicio
1531,12,16.4,97,2,autoservicio
1470,12,26.9,59,3,vendedor_ruta
1719,7,11.6,42,10,autoservicio
1340,5,24.5,6,5,autoservicio
784,10,38.6,19,2,autoservicio
2016,4,13.1,77,9,vendedor_ruta
3893,14,8.5,98,17,distribuidor
1311,10,67.5,49,0,autoservicio
2268,6,68.1,111,0,autoservicio
1753,5,21.0,29,14,autoservicio
2616,6,24.0,50,2,distribuidor
1648,3,23.8,53,5,autoservicio
1174,11,15.5,123,6,vendedor_ruta
1364,6,20.6,70,4,autoservicio
3800,11,3.1,5,6,vendedor_ruta
1906,11,6.2,101,3,vendedor_ruta
1864,13,16.5,135,15,vendedor_ruta
3726,10,13.2,56,1,distribuidor
4158,14,7.2,31,6,vendedor_ruta
243,15,20.5,98,9,vendedor_ruta
618,10,35.6,140,5,autoservicio
3066,10,11.6,97,3,vendedor_ruta
1966,7,26.9,5,4,autoservicio
4168,5,16.8,94,1,distribuidor
481,14,39.9,80,4,vendedor_ruta
2158,11,5.7,29,5,vendedor_ruta
2703,12,8.2,114,17,vendedor_ruta
1487,7,16.1,82,6,autoservicio
2955,15,9.9,115,6,vendedor_ruta
3104,8,48.6,25,1,vendedor_ruta
1767,6,6.0,80,20,autoservicio
1686,7,15.6,31,2,vendedor_ruta
3296,15,77.6,74,5,vendedor_ruta
2131,5,5.6,121,1,distribuidor
2585,6,22.1,11,5,vendedor_ruta
2124,21,17.1,13,5,vendedor_ruta
2054,13,29.9,101,13,vendedor_ruta
1683,6,27.7,64,6,vendedor_ruta
2696,5,26.4,110,0,vendedor_ruta
1010,2,41.9,34,0,autoservicio
502,9,41.1,67,28,autoservicio
1862,12,13.1,91,2,vendedor_ruta
4207,15,12.7,73,2,vendedor_ruta
2133,1,34.5,5,15,autoservicio
1577,4,24.7,172,2,distribuidor
1439,9,28.2,73,0,vendedor_ruta
1372,20,22.4,14,10,vendedor_ruta
132,13,14.7,77,15,autoservicio
3851,10,33.3,81,1,vendedor_ruta
1273,4,11.1,103,3,autoservicio
1885,1,78.8,100,7,autoservicio
1513,9,73.7,57,3,vendedor_ruta
1121,9,90.8,5,9,vendedor_ruta
3974,8,25.9,83,4,vendedor_ruta
812,7,16.3,5,2,autoservicio
2756,6,56.6,111,6,distribuidor
570,5,22.8,37,42,autoservicio
1693,15,39.9,89,6,vendedor_ruta
3634,5,39.7,40,9,vendedor_ruta
1331,8,11.4,46,1,autoservicio
2601,9,32.7,35,2,vendedor_ruta
1288,12,38.5,92,16,vendedor_ruta
1484,6,20.7,41,4,autoservicio
2993,13,6.1,94,1,vendedor_ruta
2639,7,57.5,42,3,vendedor_ruta
4235,8,77.6,56,0,vendedor_ruta
1327,16,23.9,66,3,vendedor_ruta
2329,5,17.6,71,12,vendedor_ruta
1958,12,5.1,30,20,autoservicio
2372,13,24.9,92,7,vendedor_ruta
3461,10,15.4,55,24,vendedor_ruta
1162,9,5.0,86,9,vendedor_ruta
2269,18,42.3,64,2,vendedor_ruta
3945,9,34.0,87,0,vendedor_ruta
1960,10,13.8,49,6,vendedor_ruta
2979,8,67.8,35,14,vendedor_ruta
364,10,21.5,81,8,autoservicio
2019,13,24.2,46,3,vendedor_ruta
1383,8,19.2,120,8,distribuidor
2613,1,46.4,68,3,distribuidor
2279,11,33.1,13,4,vendedor_ruta
1019,5,3.1,43,14,autoservicio
627,12,22.7,27,3,autoservicio
5496,9,39.4,106,3,distribuidor
2397,13,5.1,94,9,vendedor_ruta
2360,5,39.1,63,17,autoservicio
1139,7,33.6,76,3,vendedor_ruta
1516,8,9.6,62,5,autoservicio
3972,3,18.6,98,9,distribuidor
1987,13,7.0,85,3,vendedor_ruta
4056,2,13.9,92,5,distribuidor
2403,13,18.4,58,4,vendedor_ruta
3522,11,35.8,41,5,vendedor_ruta
338,8,41.0,90,20,autoservicio
1093,10,26.7,124,3,autoservicio
1962,10,17.8,107,12,distribuidor
1605,7,38.3,125,8,vendedor_ruta
2623,10,24.3,71,6,vendedor_ruta
628,12,28.9,28,20,autoservicio
639,5,42.5,32,12,autoservicio
2561,10,36.7,117,6,vendedor_ruta
3429,1,28.8,5,1,distribuidor
1510,1,33.1,122,3,autoservicio
4312,11,13.7,35,9,vendedor_ruta
4931,7,12.2,138,6,distribuidor
1832,6,76.9,62,13,autoservicio
1473,9,11.6,92,25,vendedor_ruta
1244,7,42.8,156,5,autoservicio
1087,5,17.5,52,14,vendedor_ruta
2884,2,35.7,52,1,vendedor_ruta
987,1,2.7,39,3,autoservicio
857,12,6.5,27,12,autoservicio
1050,7,44.5,52,1,vendedor_ruta
1844,13,4.5,44,3,vendedor_ruta
1933,7,13.9,17,6,vendedor_ruta
2786,10,58.3,57,30,vendedor_ruta
1731,8,41.0,82,15,vendedor_ruta
594,9,16.8,31,4,autoservicio
1427,9,11.7,59,5,distribuidor
1876,7,64.4,118,0,vendedor_ruta
1189,4,12.6,11,1,autoservicio
2274,12,28.0,138,27,vendedor_ruta
212,15,54.9,39,2,autoservicio
1720,16,31.7,73,10,vendedor_ruta
3854,7,55.0,114,1,vendedor_ruta
3369,6,16.2,125,1,distribuidor
2030,7,8.8,83,2,vendedor_ruta
1921,8,36.7,39,1,autoservicio
2484,9,50.9,35,2,vendedor_ruta
865,5,33.1,43,4,autoservicio
3202,3,10.3,137,16,distribuidor
4234,9,99.4,50,2,distribuidor
1714,1,7.0,77,3,autoservicio
2029,9,25.9,25,2,autoservicio
2810,5,54.8,21,7,vendedor_ruta
1110,12,24.0,66,8,vendedor_ruta
4317,13,37.1,53,14,vendedor_ruta
5420,13,4.1,55,13,distribuidor
2616,8,36.1,9,16,vendedor_ruta
4526,4,9.7,62,0,distribuidor
780,6,26.2,124,12,autoservicio
2225,10,6.8,33,0,vendedor_ruta
380,2,38.6,99,1,autoservicio
1427,15,32.7,5,7,vendedor_ruta
1450,8,26.0,35,2,autoservicio
1205,11,45.4,5,2,vendedor_ruta
791,2,35.2,112,11,autoservicio
2598,5,6.6,98,29,vendedor_ruta
1047,1,44.5,26,1,autoservicio
2600,13,35.6,76,0,vendedor_ruta
1796,8,11.6,111,1,vendedor_ruta
2310,11,23.2,117,2,vendedor_ruta
1290,9,15.7,50,15,vendedor_ruta
1785,11,83.7,5,9,autoservicio
6003,8,8.6,31,2,distribuidor
2261,8,16.3,94,3,vendedor_ruta
4324,9,22.0,145,58,vendedor_ruta
4187,11,25.3,63,13,vendedor_ruta
680,11,16.8,42,2,autoservicio
4180,20,24.8,156,3,distribuidor
1784,16,33.2,80,1,vendedor_ruta
1448,2,12.7,18,10,autoservicio
886,8,16.8,60,2,autoservicio
684,7,71.7,103,11,autoservicio
2553,14,45.2,62,2,vendedor_ruta
664,8,44.4,95,0,autoservicio
2621,11,6.3,5,6,vendedor_ruta
261,1,79.6,11,4,autoservicio
944,3,21.3,37,11,autoservicio
1611,17,48.0,54,3,vendedor_ruta
1928,9,26.4,78,6,vendedor_ruta
983,5,4.0,89,7,autoservicio
738,10,17.5,159,2,vendedor_ruta
1490,5,45.7,37,33,autoservicio
1226,8,46.6,53,18,autoservicio
1340,3,27.2,38,2,autoservicio
2706,6,8.4,106,2,distribuidor
3781,7,48.9,108,14,vendedor_ruta
1432,13,12.6,48,3,vendedor_ruta
2708,11,26.2,143,1,vendedor_ruta
1254,12,34.7,38,10,vendedor_ruta
1185,9,37.1,104,9,autoservicio
1484,12,33.8,120,4,vendedor_ruta
3442,6,11.0,13,28,vendedor_ruta
545,6,16.2,87,2,autoservicio
481,11,10.7,5,9,autoservicio
4827,8,39.2,96,14,distribuidor
961,9,35.5,23,3,autoservicio
1627,8,12.4,87,1,distribuidor
1333,14,43.4,94,15,vendedor_ruta
4256,14,43.2,108,14,vendedor_ruta
3420,6,53.6,99,2,distribuidor
731,2,34.6,67,10,autoservicio
1940,6,36.2,51,0,autoservicio
2282,5,17.2,62,3,vendedor_ruta
2659,12,20.7,23,4,vendedor_ruta
340,13,50.1,57,11,autoservicio
480,5,14.3,54,1,autoservicio
2781,6,11.4,35,10,vendedor_ruta
648,3,36.5,5,1,autoservicio
2257,10,3.3,16,5,vendedor_ruta
764,9,13.6,5,2,autoservicio
508,12,55.0,53,1,autoservicio
935,11,62.6,79,5,autoservicio
1749,11,46.7,5,2,vendedor_ruta
2191,3,25.3,74,8,autoservicio
2365,6,11.5,60,4,vendedor_ruta
2991,13,6.6,20,3,vendedor_ruta
976,7,18.3,49,2,autoservicio
2886,2,6.7,105,5,distribuidor
1863,12,77.4,28,1,autoservicio
2061,7,17.5,68,0,distribuidor
6340,13,19.3,78,0,vendedor_ruta
2587,9,41.5,34,9,vendedor_ruta
1536,8,5.6,103,14,autoservicio
1364,14,19.7,80,10,autoservicio
1761,4,23.8,55,1,autoservicio
569,15,6.9,155,0,autoservicio
2255,6,10.8,103,1,distribuidor
1746,10,14.6,5,3,autoservicio
2045,10,47.9,50,8,vendedor_ruta
1858,7,61.4,159,17,autoservicio
621,6,33.2,28,16,autoservicio
2643,8,22.4,68,6,vendedor_ruta
1163,5,55.1,112,1,autoservicio
3209,17,43.6,90,3,vendedor_ruta
2785,7,93.1,95,9,vendedor_ruta
4665,14,4.6,93,1,distribuidor
1757,13,24.4,66,9,distribuidor
