descuento_pct,distancia_km,pedido_rentable
2.18,15.0,0
18.73,43.1,0
5.78,10.2,1
20.66,117.5,0
19.1,38.5,0
1.91,112.0,0
11.77,82.2,1
18.39,68.4,0
21.4,57.6,0
24.48,82.8,0
9.91,82.7,0
25.1,2.3,0
10.63,109.0,0
0.21,44.8,1
18.3,43.0,0
7.25,49.4,0
3.73,82.5,0
7.75,45.7,1
24.84,45.5,0
27.42,8.6,0
28.85,50.6,0
9.08,18.8,1
13.68,102.8,1
24.08,40.8,0
9.54,115.3,0
11.55,82.5,1
7.12,91.0,0
17.17,113.8,1
19.78,29.4,0
9.55,68.5,0
0.73,5.8,0
22.08,13.0,0
18.5,44.6,0
6.57,82.2,0
9.44,100.0,0
28.71,31.5,0
18.91,90.1,0
17.86,27.7,0
19.19,1.7,0
28.63,7.5,0
10.2,70.7,1
8.43,60.2,1
11.3,33.2,1
24.03,1.8,0
3.63,68.6,0
6.2,98.3,0
6.85,9.2,1
19.09,88.6,0
19.25,76.5,0
11.16,58.0,1
8.29,6.8,1
22.64,110.9,0
0.95,57.8,0
22.16,48.6,0
6.31,103.5,0
27.08,101.6,0
12.41,87.5,1
19.27,99.7,0
3.63,15.8,0
7.62,91.5,0
21.02,40.0,0
16.51,104.2,1
23.11,45.1,0
16.9,7.5,0
17.08,50.3,0
25.75,91.1,0
12.74,60.6,1
26.85,91.9,0
11.17,5.2,1
9.86,22.1,1
23.38,68.1,0
0.35,46.9,0
5.17,81.9,0
2.15,115.5,0
15.36,79.5,1
18.84,50.7,0
0.31,65.5,0
4.84,109.6,1
9.08,81.1,0
8.83,96.6,0
2.91,36.9,0
5.19,89.6,0
25.41,17.6,0
21.02,90.2,0
8.88,105.9,0
7.9,108.1,0
2.41,14.9,0
10.47,99.8,0
11.94,14.1,1
27.13,57.9,0
22.29,82.2,0
14.37,58.6,1
4.05,41.4,0
19.68,82.4,0
28.08,79.6,0
2.34,70.4,0
25.46,63.9,0
5.4,85.0,0
21.04,49.0,0
5.52,9.2,1
18.0,65.0,0
7.13,87.1,0
16.25,36.6,0
18.0,17.7,0
18.56,109.5,0
20.48,103.8,0
2.07,74.6,0
21.1,94.6,0
4.64,116.3,0
20.31,68.7,0
3.72,30.1,0
14.38,77.0,1
11.6,109.8,0
29.02,83.1,0
18.92,4.1,0
2.65,110.1,0
21.03,90.7,0
5.82,48.8,0
8.58,118.5,0
11.35,86.9,1
23.29,99.2,0
28.32,113.2,0
27.73,5.7,0
5.12,93.2,0
1.81,47.0,0
24.86,104.4,0
8.65,105.6,0
17.48,99.6,0
29.36,93.7,0
5.59,95.5,0
11.25,36.3,1
26.03,49.4,0
19.5,14.7,0
28.13,99.8,0
18.95,77.9,0
9.11,73.9,0
24.15,30.3,0
22.78,74.2,0
28.01,55.1,0
14.29,119.4,1
15.09,103.7,1
9.71,63.6,1
8.06,97.2,0
29.9,20.6,0
29.32,13.1,0
15.89,76.0,1
28.65,87.5,0
10.68,7.3,1
25.5,24.9,0
19.05,64.9,0
21.51,8.5,0
21.55,51.5,1
19.07,58.4,0
25.57,110.7,0
11.76,38.6,1
25.48,21.1,0
5.5,1.9,1
6.0,15.5,1
21.52,90.4,0
22.5,53.9,0
27.07,24.6,0
8.24,112.0,0
1.68,94.7,0
15.22,14.6,0
26.26,33.0,0
29.14,102.1,0
25.73,83.4,0
14.7,113.5,1
25.9,10.1,0
6.42,93.3,0
27.64,10.1,0
17.01,41.1,0
11.68,90.3,1
17.45,85.6,1
23.52,1.3,0
7.2,25.0,0
3.06,93.7,0
21.99,16.0,0
28.57,39.8,0
19.11,22.9,0
4.28,14.3,0
19.3,100.6,0
3.5,8.3,0
9.11,64.8,1
0.95,83.4,0
14.63,7.9,0
9.64,76.4,0
2.93,40.8,0
9.27,100.2,0
19.43,95.9,0
8.67,95.5,0
4.29,48.4,0
16.34,98.9,1
22.6,76.0,0
24.9,46.1,0
14.16,10.6,0
21.33,9.0,0
25.0,30.9,0
20.19,36.7,0
15.82,111.4,1
1.8,120.0,0
8.7,18.1,1
9.59,113.2,0
11.85,85.1,1
28.53,60.3,0
6.27,114.6,0
16.25,85.9,1
29.74,71.6,0
18.56,25.9,0
6.27,30.1,1
28.81,109.5,0
10.09,26.6,1
1.44,4.8,0
12.94,32.7,1
7.22,58.2,0
24.57,46.5,0
6.6,112.4,0
24.6,50.8,0
1.09,106.8,0
27.87,71.8,0
1.27,63.4,0
28.16,20.1,1
2.21,33.3,0
26.18,104.2,0
24.94,93.8,0
17.83,54.2,1
1.08,109.2,0
18.63,98.5,0
18.54,14.3,0
16.72,73.1,0
18.95,96.1,0
29.04,97.2,0
29.87,11.9,0
15.61,27.7,0
2.75,50.2,0
4.02,30.9,0
21.61,14.0,0
29.46,75.8,0
13.08,61.4,1
2.94,19.4,0
10.59,70.8,1
11.55,8.4,1
29.9,46.6,0
20.6,95.3,0
3.54,106.9,0
10.11,30.2,1
1.46,103.3,0
19.59,107.1,0
20.18,73.2,0
1.72,117.9,0
10.07,30.3,1
27.09,9.2,0
24.8,101.4,0
17.23,59.4,0
14.54,42.2,0
