id_cliente,canton,tipo_negocio,antiguedad_meses,frecuencia_pedidos_mes,ticket_promedio,sku_distintos,distancia_bodega_km,descuento_promedio,ventas_trimestre,recompra_90d,segmento
AND-0191,Cariamanga,minimarket,19,17,319.88,137,14.5,26.2,11907.01,0,mayorista
AND-0192,Loja,panaderia,8,5,19.94,16,12.2,1.9,269.65,0,barrio
AND-0193,Loja,minimarket,58,3,16.57,20,56.2,23.8,115.21,1,barrio
AND-0194,Cariamanga,tienda de barrio,26,11,49.19,45,16.7,5.7,1256.44,1,minimarket
AND-0195,Catamayo,panaderia,59,8,16.45,27,28.2,6.4,367.33,1,barrio
AND-0196,Loja,tienda de barrio,27,8,17.02,5,32.6,15.2,381.1,1,barrio
AND-0197,Loja,minimarket,37,11,50.61,55,32.3,25.3,1757.68,1,minimarket
AND-0198,Loja,minimarket,17,16,256.9,149,22.6,20.9,12306.84,1,mayorista
AND-0199,Saraguro,tienda de barrio,17,8,12.29,26,54.3,26.4,285.91,1,barrio
AND-0200,Saraguro,tienda de barrio,25,9,21.76,29,26.7,1.7,519.69,0,barrio
AND-0201,Loja,minimarket,59,12,50.59,59,12.0,13.5,1937.19,1,minimarket
AND-0202,Cariamanga,panaderia,14,14,228.16,154,15.0,11.1,10992.26,1,mayorista
AND-0203,Machala,panaderia,6,6,14.05,33,4.8,12.9,253.0,0,barrio
AND-0204,Cariamanga,minimarket,45,7,24.11,27,24.4,7.7,519.06,1,barrio
AND-0205,Saraguro,tienda de barrio,39,3,23.67,33,29.9,15.2,170.17,0,barrio
AND-0206,Cariamanga,tienda de barrio,20,7,22.23,31,31.7,4.9,525.32,0,barrio
AND-0207,Machala,panaderia,72,10,12.9,17,27.9,11.7,465.86,0,barrio
AND-0208,Machala,tienda de barrio,73,11,66.01,44,17.2,0.5,2267.36,1,minimarket
AND-0209,Loja,panaderia,7,8,19.68,27,19.7,4.3,429.97,1,barrio
AND-0210,Loja,tienda de barrio,17,6,12.64,29,19.7,4.0,219.35,0,barrio
AND-0211,Loja,tienda de barrio,25,10,54.71,73,38.4,13.3,1474.51,1,minimarket
AND-0212,Zamora,minimarket,32,11,59.59,49,3.1,1.7,1864.18,1,minimarket
AND-0213,Loja,minimarket,29,5,20.34,11,13.7,3.4,327.57,1,barrio
AND-0214,Machala,minimarket,26,8,57.19,66,8.4,4.8,1397.07,0,minimarket
AND-0215,Loja,tienda de barrio,13,12,58.64,59,68.9,13.6,2279.52,0,minimarket
AND-0216,Cariamanga,panaderia,34,12,76.06,37,43.5,10.9,2752.96,1,minimarket
AND-0217,Loja,tienda de barrio,36,4,23.57,27,14.2,12.4,240.73,0,barrio
AND-0218,Saraguro,panaderia,43,8,9.58,5,5.9,9.4,207.64,0,barrio
AND-0219,Catamayo,minimarket,12,16,195.83,129,7.5,27.3,7819.27,1,mayorista
AND-0220,Macara,tienda de barrio,23,7,17.36,38,38.0,7.5,345.56,0,barrio
AND-0221,Saraguro,minimarket,19,7,12.24,44,4.7,18.8,301.11,1,barrio
AND-0222,Catamayo,minimarket,12,8,18.38,7,19.9,5.3,557.16,0,barrio
AND-0223,Macara,tienda de barrio,22,10,72.39,56,33.9,9.9,2329.02,0,minimarket
AND-0224,Machala,minimarket,13,18,165.35,141,6.8,7.0,8823.69,1,mayorista
AND-0225,Zamora,tienda de barrio,10,6,19.38,43,19.7,14.7,275.72,0,barrio
AND-0226,Macara,restaurante,39,17,171.68,134,14.4,13.5,8541.91,1,mayorista
AND-0227,Saraguro,tienda de barrio,20,5,15.53,16,12.9,23.6,191.13,0,barrio
AND-0228,Machala,tienda de barrio,16,13,76.12,79,11.2,4.5,3606.1,0,minimarket
AND-0229,Saraguro,panaderia,49,11,48.81,56,35.9,7.5,1269.5,0,minimarket
AND-0230,Machala,tienda de barrio,36,7,19.93,31,49.7,5.1,431.35,0,barrio
AND-0231,Zamora,restaurante,6,3,11.93,5,16.1,1.9,95.13,1,barrio
AND-0232,Loja,tienda de barrio,32,5,27.11,20,25.5,3.0,401.46,1,barrio
AND-0233,Loja,tienda de barrio,32,18,239.77,120,20.1,10.0,13575.64,1,mayorista
AND-0234,Macara,tienda de barrio,22,10,52.84,47,3.6,5.5,1772.14,0,minimarket
AND-0235,Macara,tienda de barrio,21,13,238.35,150,15.7,12.1,8793.39,0,mayorista
AND-0236,Cariamanga,tienda de barrio,8,12,40.33,59,2.9,7.4,1557.28,0,minimarket
AND-0237,Machala,tienda de barrio,71,5,23.35,18,13.4,4.5,315.79,1,barrio
AND-0238,Saraguro,tienda de barrio,22,12,51.22,51,19.3,10.4,1827.58,1,minimarket
AND-0239,Catamayo,tienda de barrio,31,6,17.21,19,32.1,5.9,344.88,1,barrio
AND-0240,Cariamanga,tienda de barrio,23,6,16.15,26,23.9,4.5,298.27,0,barrio
AND-0241,Loja,tienda de barrio,17,12,48.4,72,36.5,2.5,1610.89,0,minimarket
AND-0242,Cariamanga,tienda de barrio,40,9,64.08,28,9.8,5.5,1633.23,1,minimarket
AND-0243,Machala,tienda de barrio,28,4,19.04,12,45.6,11.1,249.6,0,barrio
AND-0244,Loja,tienda de barrio,22,6,20.78,24,49.7,8.6,313.81,0,barrio
AND-0245,Zamora,tienda de barrio,31,11,54.89,59,2.7,9.9,1541.11,1,minimarket
AND-0246,Zamora,tienda de barrio,24,8,61.57,65,4.4,17.6,1489.72,1,minimarket
AND-0247,Loja,tienda de barrio,62,7,50.16,63,19.0,1.6,988.79,1,minimarket
AND-0248,Zamora,restaurante,40,7,29.4,18,12.6,6.8,497.76,1,barrio
AND-0249,Zamora,tienda de barrio,34,5,12.75,16,14.3,4.2,224.28,0,barrio
AND-0250,Saraguro,tienda de barrio,9,5,23.75,19,23.8,4.7,303.22,0,barrio
AND-0251,Loja,minimarket,35,7,74.31,74,37.5,1.1,1514.14,0,minimarket
AND-0252,Loja,tienda de barrio,34,9,45.6,51,9.3,4.7,1115.4,0,minimarket
AND-0253,Cariamanga,tienda de barrio,14,6,29.39,21,41.7,9.2,490.93,0,barrio
AND-0254,Loja,panaderia,9,7,22.41,24,11.1,10.2,403.03,0,barrio
AND-0255,Loja,minimarket,39,5,22.29,41,74.9,14.3,346.71,0,barrio
AND-0256,Machala,restaurante,42,13,55.34,56,45.9,5.4,2144.1,1,minimarket
AND-0257,Macara,restaurante,17,9,52.43,72,12.0,15.7,1511.57,1,minimarket
AND-0258,Macara,minimarket,17,5,17.19,37,6.0,22.9,217.24,0,barrio
AND-0259,Machala,minimarket,28,8,19.61,21,11.8,22.3,567.77,1,barrio
AND-0260,Loja,tienda de barrio,20,10,74.86,57,10.5,19.9,1619.04,1,minimarket
AND-0261,Loja,restaurante,9,5,18.73,18,29.4,8.9,220.8,1,barrio
AND-0262,Cariamanga,minimarket,13,10,45.01,57,2.8,7.2,1648.96,0,minimarket
AND-0263,Catamayo,tienda de barrio,31,8,21.58,32,4.5,3.0,544.49,0,barrio
AND-0264,Loja,tienda de barrio,14,8,22.04,25,28.9,12.3,526.8,0,barrio
AND-0265,Zamora,minimarket,43,15,242.53,143,10.1,9.8,11108.13,1,mayorista
AND-0266,Loja,minimarket,34,6,21.21,8,13.6,15.4,386.85,0,barrio
AND-0267,Saraguro,panaderia,31,6,16.96,10,33.8,5.4,310.82,0,barrio
AND-0268,Cariamanga,tienda de barrio,27,4,14.67,48,38.6,11.0,148.7,0,barrio
AND-0269,Cariamanga,panaderia,16,6,14.87,20,44.4,8.3,288.2,0,barrio
AND-0270,Loja,tienda de barrio,36,6,12.56,13,31.9,6.5,240.2,0,barrio
AND-0271,Loja,minimarket,16,8,18.96,39,16.7,26.4,492.26,0,barrio
AND-0272,Machala,tienda de barrio,44,8,17.67,25,15.7,2.9,527.45,0,barrio
AND-0273,Machala,tienda de barrio,56,5,16.34,29,14.3,7.6,248.38,0,barrio
AND-0274,Saraguro,tienda de barrio,28,10,28.71,58,6.9,7.1,714.21,0,minimarket
AND-0275,Loja,tienda de barrio,52,11,41.8,56,9.0,9.8,1671.39,0,minimarket
AND-0276,Cariamanga,tienda de barrio,14,5,23.03,20,40.6,3.0,299.13,0,barrio
AND-0277,Loja,panaderia,34,7,15.55,5,11.0,15.6,320.74,0,barrio
AND-0278,Loja,tienda de barrio,25,6,19.49,21,6.9,7.5,329.52,1,barrio
AND-0279,Loja,panaderia,39,14,154.65,144,42.9,15.8,5768.45,1,mayorista
AND-0280,Loja,minimarket,6,8,75.48,82,22.8,2.8,1979.21,1,minimarket
AND-0281,Loja,tienda de barrio,38,8,17.44,23,57.0,0.7,430.91,0,barrio
AND-0282,Loja,restaurante,17,6,19.19,5,53.1,7.9,358.03,0,barrio
AND-0283,Zamora,panaderia,26,9,30.03,21,7.5,11.3,697.54,1,barrio
AND-0284,Saraguro,panaderia,71,5,25.13,55,18.1,3.3,363.84,0,barrio
AND-0285,Catamayo,panaderia,35,10,51.41,70,8.4,13.5,1323.02,1,minimarket
AND-0286,Loja,minimarket,32,10,15.8,12,8.4,12.6,439.51,1,barrio
AND-0287,Machala,restaurante,31,4,16.76,29,14.0,4.7,194.46,0,barrio
AND-0288,Loja,tienda de barrio,47,3,20.14,13,30.0,5.4,225.59,0,barrio
AND-0289,Loja,tienda de barrio,40,8,17.59,6,30.2,3.1,403.3,0,barrio
AND-0290,Cariamanga,minimarket,31,5,16.5,18,27.6,13.1,178.29,0,barrio
AND-0291,Macara,tienda de barrio,29,10,75.95,61,16.7,2.2,2708.46,1,minimarket
AND-0292,Zamora,minimarket,28,5,17.55,5,31.3,1.8,277.15,0,barrio
AND-0293,Catamayo,tienda de barrio,25,16,348.28,126,6.8,4.3,16163.32,1,mayorista
AND-0294,Catamayo,tienda de barrio,12,4,18.36,22,23.0,8.9,201.02,0,barrio
AND-0295,Loja,restaurante,34,10,81.46,55,19.8,2.9,2136.65,1,minimarket
AND-0296,Cariamanga,tienda de barrio,18,17,227.17,145,15.9,14.1,14096.95,1,mayorista
AND-0297,Catamayo,tienda de barrio,23,14,259.55,125,23.7,13.4,10409.19,1,mayorista
AND-0298,Loja,minimarket,41,9,46.9,69,8.6,20.1,932.14,1,minimarket
