fecha,ipp_general,variacion_mensual_pct
2006-03-01,69.08,-0.8326
2006-04-01,67.1,-2.8662
2006-05-01,69.58,3.696
2006-06-01,69.32,-0.3737
2006-07-01,69.35,0.0433
2006-08-01,68.26,-1.5717
2006-09-01,68.97,1.0401
2006-10-01,69.51,0.7829
2006-11-01,70.96,2.086
2006-12-01,70.19,-1.0851
2007-01-01,70.68,0.6981
2007-02-01,72.08,1.9808
2007-03-01,73.87,2.4834
2007-04-01,73.77,-0.1354
2007-05-01,72.59,-1.5996
2007-06-01,74.19,2.2042
2007-07-01,74.87,0.9166
2007-08-01,75.02,0.2003
2007-09-01,76.34,1.7595
2007-10-01,77.51,1.5326
2007-11-01,77.06,-0.5806
2007-12-01,77.4,0.4412
2008-01-01,77.51,0.1421
2008-02-01,78.87,1.7546
2008-03-01,81.9,3.8418
2008-04-01,81.99,0.1099
2008-05-01,83.23,1.5124
2008-06-01,84.07,1.0093
2008-07-01,87.05,3.5447
2008-08-01,86.28,-0.8845
2008-09-01,86.88,0.6954
2008-10-01,85.11,-2.0373
2008-11-01,84.45,-0.7755
2008-12-01,83.57,-1.042
2009-01-01,83.33,-0.2872
2009-02-01,82.73,-0.72
2009-03-01,83.69,1.1604
2009-04-01,83.4,-0.3465
2009-05-01,82.66,-0.8873
2009-06-01,83.24,0.7017
2009-07-01,83.4,0.1922
2009-08-01,82.53,-1.0432
2009-09-01,81.87,-0.7997
2009-10-01,81.09,-0.9527
2009-11-01,84.66,4.4025
2009-12-01,84.77,0.1299
2010-01-01,84.65,-0.1416
2010-02-01,87.03,2.8116
2010-03-01,88.03,1.149
2010-04-01,88.08,0.0568
2010-05-01,86.76,-1.4986
2010-06-01,87.67,1.0489
2010-07-01,88.31,0.73
2010-08-01,89.54,1.3928
2010-09-01,88.34,-1.3402
2010-10-01,88.83,0.5547
2010-11-01,90.38,1.7449
2010-12-01,90.63,0.2766
2011-01-01,91.67,1.1475
2011-02-01,93.0,1.4509
2011-03-01,92.26,-0.7957
2011-04-01,92.1,-0.1734
2011-05-01,92.09,-0.0109
2011-06-01,92.3,0.228
2011-07-01,92.99,0.7476
2011-08-01,94.26,1.3657
2011-09-01,94.27,0.0106
2011-10-01,93.25,-1.082
2011-11-01,94.64,1.4906
2011-12-01,93.41,-1.2997
2012-01-01,95.3,2.0233
2012-02-01,94.85,-0.4722
2012-03-01,95.74,0.9383
2012-04-01,96.1,0.376
2012-05-01,97.53,1.488
2012-06-01,95.15,-2.4403
2012-07-01,95.69,0.5675
2012-08-01,96.23,0.5643
2012-09-01,95.96,-0.2806
2012-10-01,95.76,-0.2084
2012-11-01,94.43,-1.3889
2012-12-01,95.24,0.8578
2013-01-01,95.68,0.462
2013-02-01,96.31,0.6584
2013-03-01,96.82,0.5295
2013-04-01,97.4,0.599
2013-05-01,96.29,-1.1396
2013-06-01,97.12,0.862
2013-07-01,96.77,-0.3604
2013-08-01,96.02,-0.775
2013-09-01,98.08,2.1454
2013-10-01,96.52,-1.5905
2013-11-01,96.32,-0.2072
2013-12-01,98.16,1.9103
2014-01-01,97.78,-0.3871
2014-02-01,99.2,1.4522
2014-03-01,98.98,-0.2218
2014-04-01,99.98,1.0103
2014-05-01,99.59,-0.3901
2014-06-01,99.72,0.1305
2014-07-01,100.62,0.9025
2014-08-01,104.15,3.5082
2014-09-01,102.66,-1.4306
2014-10-01,101.15,-1.4709
2014-11-01,101.32,0.1681
2014-12-01,101.22,-0.0987
2015-01-01,101.52,0.2964
2015-02-01,102.59,1.054
2015-03-01,103.28,0.6726
2015-04-01,102.39,-0.8617
2015-05-01,101.69,-0.6837
2015-06-01,103.41,1.6914
2015-07-01,102.87,-0.5222
2015-08-01,104.59,1.672
2015-09-01,104.3,-0.2773
2015-10-01,101.91,-2.2915
2015-11-01,101.07,-0.8243
2015-12-01,100.52,-0.5442
2016-01-01,103.4,2.8651
2016-02-01,101.35,-1.9826
2016-03-01,104.07,2.6838
2016-04-01,102.78,-1.2396
2016-05-01,102.72,-0.0584
2016-06-01,101.86,-0.8372
2016-07-01,101.98,0.1178
2016-08-01,102.27,0.2844
2016-09-01,103.3,1.0071
2016-10-01,102.7,-0.5808
2016-11-01,102.21,-0.4771
2016-12-01,102.19,-0.0196
2017-01-01,103.04,0.8318
2017-02-01,102.39,-0.6308
2017-03-01,101.28,-1.0841
2017-04-01,101.41,0.1284
2017-05-01,100.83,-0.5719
2017-06-01,100.82,-0.0099
2017-07-01,100.64,-0.1785
2017-08-01,102.01,1.3613
2017-09-01,102.11,0.098
2017-10-01,102.16,0.049
2017-11-01,102.47,0.3034
2017-12-01,103.5,1.0052
2018-01-01,104.32,0.7923
2018-02-01,103.7,-0.5943
2018-03-01,103.92,0.2122
2018-04-01,104.06,0.1347
2018-05-01,103.3,-0.7303
2018-06-01,103.24,-0.0581
2018-07-01,102.38,-0.833
2018-08-01,102.58,0.1954
2018-09-01,102.95,0.3607
2018-10-01,102.99,0.0389
2018-11-01,102.92,-0.068
2018-12-01,102.34,-0.5635
2019-01-01,103.38,1.0162
2019-02-01,102.74,-0.6191
2019-03-01,102.97,0.2239
2019-04-01,103.06,0.0874
2019-05-01,103.87,0.7859
2019-06-01,103.23,-0.6162
2019-07-01,101.14,-2.0246
2019-08-01,101.94,0.791
2019-09-01,103.56,1.5892
2019-10-01,103.53,-0.029
2019-11-01,103.43,-0.0966
2019-12-01,104.32,0.8605
2020-01-01,104.23,-0.0863
2020-02-01,104.8,0.5469
2020-03-01,104.62,-0.1718
2020-04-01,101.69,-2.8006
2020-05-01,100.47,-1.1997
2020-06-01,100.13,-0.3384
2020-07-01,99.82,-0.3096
2020-08-01,100.67,0.8515
2020-09-01,101.89,1.2119
2020-10-01,101.86,-0.0294
2020-11-01,102.37,0.5007
2020-12-01,102.76,0.381
2021-01-01,102.93,0.1654
2021-02-01,102.74,-0.1846
2021-03-01,102.9,0.1557
2021-04-01,101.68,-1.1856
2021-05-01,101.19,-0.4819
2021-06-01,101.36,0.168
2021-07-01,102.1,0.7301
2021-08-01,102.45,0.3428
2021-09-01,104.2,1.7082
2021-10-01,104.76,0.5374
2021-11-01,105.18,0.4009
2021-12-01,104.53,-0.618
2022-01-01,107.06,2.4204
2022-02-01,108.87,1.6906
2022-03-01,107.85,-0.9369
2022-04-01,108.85,0.9272
2022-05-01,109.12,0.248
2022-06-01,110.02,0.8248
2022-07-01,109.86,-0.1454
2022-08-01,110.53,0.6099
2022-09-01,111.96,1.2938
2022-10-01,112.34,0.3394
2022-11-01,111.83,-0.454
2022-12-01,110.95,-0.7869
2023-01-01,111.07,0.1082
2023-02-01,111.53,0.4142
2023-03-01,111.4,-0.1166
2023-04-01,110.53,-0.781
2023-05-01,111.29,0.6876
2023-06-01,110.58,-0.638
2023-07-01,110.13,-0.4069
2023-08-01,111.59,1.3257
2023-09-01,112.97,1.2367
2023-10-01,112.9,-0.062
2023-11-01,112.87,-0.0266
2023-12-01,111.96,-0.8062
2024-01-01,110.96,-0.8932
2024-02-01,113.1,1.9286
2024-03-01,114.43,1.176
2024-04-01,116.35,1.6779
2024-05-01,115.72,-0.5415
2024-06-01,115.62,-0.0864
2024-07-01,115.03,-0.5103
2024-08-01,116.76,1.504
2024-09-01,118.66,1.6273
2024-10-01,119.34,0.5731
2024-11-01,119.38,0.0335
2024-12-01,120.39,0.846
2025-01-01,122.15,1.4619
2025-02-01,120.41,-1.4245
2025-03-01,120.53,0.0997
2025-04-01,119.69,-0.6969
