rotacion_semanal,cobertura_dias,plazo_proveedor_dias,surtido_local,en_promocion,indice_estacional,distancia_bodega_km,quiebres_previos_12s,quiebre_stock
19.7,12.5,17,46,0,1.194,10.8,1,1
20.4,4.4,17,46,0,0.77,11.1,0,1
64.1,13.5,9,34,0,0.776,16.2,0,1
33.5,17.2,10,61,0,0.91,12.5,1,0
13.9,24.6,7,46,1,1.343,15.0,0,0
11.3,28.4,22,71,0,1.181,28.9,0,0
40.4,24.1,7,47,0,1.192,14.5,2,0
60.5,16.7,13,46,0,1.233,32.4,4,0
39.2,15.1,5,63,0,1.253,12.1,3,0
31.2,18.9,8,14,0,1.397,51.7,0,0
17.4,10.5,1,40,0,0.759,74.3,2,1
38.8,13.0,6,112,0,0.775,34.3,0,0
50.2,8.2,10,93,0,1.379,35.0,0,1
12.8,9.9,11,70,0,1.029,59.8,0,0
7.9,10.5,13,19,0,1.33,4.1,1,1
23.9,3.7,9,34,0,1.079,26.9,1,1
25.9,21.4,10,61,0,1.186,31.8,1,1
72.9,12.4,8,83,1,1.074,10.7,0,0
29.7,19.7,15,49,0,1.356,11.3,1,0
21.2,9.0,9,89,0,0.779,4.3,0,0
48.9,10.8,14,65,0,0.76,62.6,1,1
24.8,12.6,3,100,0,1.318,20.5,1,0
8.2,12.8,10,84,0,0.824,3.6,1,1
37.3,8.9,7,100,0,1.333,17.0,1,0
50.1,19.4,2,70,0,0.702,24.1,1,0
10.4,3.7,2,52,0,1.375,9.9,1,0
22.4,19.0,3,99,1,0.799,1.9,1,1
16.8,3.3,7,75,0,0.816,11.7,1,0
20.0,21.8,5,76,0,0.847,23.1,0,1
24.6,2.9,12,86,0,1.262,27.5,0,1
11.9,9.8,15,110,0,0.957,29.5,1,1
27.6,14.4,9,84,0,1.013,15.8,1,1
26.6,10.8,17,106,0,0.943,47.0,1,1
37.8,2.7,5,5,1,0.967,67.9,2,0
26.3,5.1,10,87,0,0.983,21.7,0,0
33.0,16.9,5,118,0,1.236,19.2,0,0
13.7,10.8,10,106,1,1.097,3.8,2,0
64.8,18.5,13,36,0,1.252,46.5,1,0
44.7,14.5,14,48,0,1.1,38.6,1,1
21.5,9.7,8,129,0,0.738,8.4,1,0
19.4,7.2,4,152,1,1.306,10.0,1,0
29.3,28.3,7,87,0,0.848,50.2,2,1
12.9,14.3,9,190,0,0.885,37.9,0,1
27.0,11.7,5,63,0,0.989,17.5,2,0
16.1,30.6,14,113,0,1.271,37.9,1,0
9.4,22.0,4,40,0,0.903,34.3,3,1
18.6,32.9,14,87,1,0.722,12.8,1,0
31.7,21.0,6,29,0,1.277,20.0,3,1
24.0,19.2,4,92,1,1.077,33.6,2,0
30.4,15.4,3,50,0,0.818,22.8,2,0
28.9,17.2,10,38,0,1.292,11.9,2,0
21.5,4.6,4,121,1,1.318,29.4,0,0
16.5,5.9,7,90,0,1.035,51.4,2,0
39.7,5.0,6,43,0,1.294,47.8,1,0
21.7,15.0,7,48,1,0.964,28.5,4,0
19.9,15.0,3,18,0,1.322,55.9,0,0
10.1,16.9,21,49,0,0.922,51.2,1,0
21.8,18.8,10,47,0,1.368,15.7,1,0
4.2,19.7,5,84,0,1.221,1.4,0,0
45.8,15.9,4,77,0,1.254,16.4,1,0
28.3,16.8,12,38,1,1.377,24.0,0,0
45.1,9.7,13,36,0,1.204,37.1,0,1
28.8,5.0,3,131,0,0.829,3.6,1,0
20.4,10.1,4,100,0,1.318,33.7,2,0
44.3,28.3,24,102,0,1.102,44.8,0,0
15.1,5.7,5,69,0,1.318,21.2,1,0
33.8,9.4,7,30,0,0.882,10.2,0,0
32.9,20.1,5,83,0,0.825,27.5,0,0
19.8,4.9,8,49,0,0.712,74.7,0,0
27.6,23.4,3,163,0,1.091,22.3,1,1
19.6,2.2,16,44,0,0.757,16.0,1,1
19.5,10.9,7,118,0,1.13,6.4,2,0
15.8,17.0,2,61,0,1.001,22.4,0,0
20.6,25.5,7,70,1,1.371,48.8,0,1
21.6,10.9,12,119,0,0.824,29.6,1,1
20.2,20.6,4,33,1,1.015,32.0,1,1
30.7,14.7,11,113,1,1.376,5.1,1,0
23.9,19.0,16,54,0,1.286,18.4,1,0
19.0,14.5,4,93,0,0.893,31.5,2,0
18.3,15.4,5,103,1,1.36,24.4,2,1
34.8,25.4,5,97,0,1.273,53.1,3,0
29.0,11.7,21,28,1,0.735,21.0,1,1
4.9,16.9,11,54,0,0.778,37.8,0,0
30.0,4.1,6,76,0,1.254,38.2,2,0
26.1,17.6,11,36,0,1.313,12.0,1,0
27.3,4.9,9,83,0,1.33,25.1,0,0
48.1,5.7,3,106,0,1.178,13.9,5,0
27.7,20.3,16,53,0,1.114,26.3,2,0
10.7,18.0,14,101,0,1.129,39.9,1,0
38.1,6.6,10,70,0,0.959,82.6,1,0
20.7,7.9,4,79,1,1.385,33.4,1,0
17.3,6.4,19,93,0,1.208,46.1,3,1
53.3,28.8,12,111,0,0.875,31.6,1,0
54.7,22.4,18,37,1,1.284,20.0,1,0
6.2,6.5,7,102,0,0.893,4.8,3,0
22.5,14.9,36,100,0,1.359,23.5,1,1
11.0,10.5,8,76,0,1.158,67.8,0,0
49.6,6.9,8,35,0,0.932,29.9,2,0
53.4,9.7,27,88,0,1.037,12.5,0,1
78.1,13.1,28,85,1,1.0,51.8,3,1
36.9,4.9,14,64,1,1.251,24.9,3,1
31.0,8.6,7,96,1,0.984,11.2,1,0
27.9,25.3,13,47,0,1.246,25.2,1,0
11.9,22.5,7,92,0,1.066,11.1,1,0
19.9,15.3,4,72,0,1.353,14.7,1,0
21.8,12.8,8,97,0,1.16,29.2,1,0
23.0,9.9,16,25,0,0.98,46.3,4,0
17.2,19.4,9,5,0,1.024,55.7,1,0
58.7,5.5,2,26,0,1.178,42.2,4,0
6.1,13.1,11,72,0,1.267,41.9,0,0
21.3,2.4,1,138,1,0.91,73.3,0,0
24.1,9.0,12,83,1,0.832,2.4,1,0
31.6,14.8,5,120,0,0.886,31.4,1,0
4.3,32.5,15,97,0,0.988,8.5,1,0
39.5,15.7,10,5,1,0.771,106.1,3,1
36.4,18.6,19,74,0,1.393,49.0,0,0
45.8,27.0,5,49,1,0.938,11.0,1,1
12.7,11.1,7,39,0,1.391,27.5,2,0
28.6,6.1,2,72,0,1.228,17.1,0,0
6.1,8.6,10,83,0,0.795,8.9,3,1
11.9,16.9,8,11,0,0.848,23.6,0,0
8.6,9.8,1,41,0,1.028,85.0,0,0
20.9,20.2,9,50,0,1.195,26.0,1,0
20.3,15.2,3,65,0,1.129,50.1,1,0
20.5,6.7,7,95,0,1.123,44.2,1,0
27.2,10.6,23,46,1,1.195,22.0,0,1
10.8,24.7,10,86,0,0.957,27.8,4,0
6.0,13.4,7,139,0,1.135,24.3,0,0
3.1,25.7,3,71,0,1.354,7.6,2,1
13.9,6.0,6,82,1,0.706,7.6,0,0
21.5,63.3,8,62,0,1.194,17.5,3,1
16.6,13.1,6,45,0,0.916,4.9,0,0
24.0,22.3,5,52,1,1.324,16.6,0,1
58.6,30.7,17,96,0,1.33,80.7,0,0
21.3,25.5,7,33,1,0.709,39.4,2,1
28.3,12.0,8,47,0,1.381,29.3,3,1
25.0,20.4,16,49,0,0.706,25.1,1,0
42.1,27.8,5,86,0,1.027,28.8,1,0
21.6,21.2,10,59,0,0.813,25.3,1,1
9.2,6.7,10,58,1,1.101,71.3,1,0
12.0,19.6,10,59,0,1.027,40.2,1,1
42.5,14.5,10,77,0,0.967,40.1,3,0
17.1,10.2,9,114,0,1.332,47.2,2,0
12.7,27.3,29,118,0,1.037,52.4,2,0
23.4,5.0,14,30,0,0.821,9.2,0,0
40.7,21.5,2,74,0,1.163,10.5,0,0
19.9,12.5,7,97,0,1.038,53.0,1,0
27.1,24.6,5,133,0,0.85,15.7,0,0
72.3,10.2,9,32,0,0.855,15.4,1,1
43.3,20.9,14,76,1,1.252,30.0,0,0
27.3,8.1,9,103,0,1.352,66.1,1,0
22.0,14.3,3,50,0,1.065,45.0,0,0
49.3,13.4,14,52,0,1.177,50.8,1,1
86.6,19.7,4,55,0,0.788,11.2,0,0
53.2,13.9,12,83,1,1.016,12.7,0,0
27.0,13.6,2,60,0,1.021,13.9,0,0
14.2,8.7,23,86,0,0.807,12.8,2,1
12.5,25.7,8,50,1,0.719,58.0,0,0
40.2,25.8,5,111,1,1.171,36.8,1,1
14.2,31.4,3,86,0,0.958,6.8,1,1
18.1,13.9,10,9,1,0.967,55.0,3,1
24.1,7.5,10,91,0,1.367,26.1,1,0
12.6,9.9,1,19,0,0.82,42.1,3,0
13.4,23.5,9,51,0,1.26,41.1,0,0
10.2,22.0,7,67,0,1.329,37.2,4,0
32.4,3.3,10,53,0,1.218,35.1,0,0
30.2,3.4,23,94,0,0.939,58.7,2,1
35.7,5.4,19,139,1,0.957,59.1,1,1
51.1,10.0,8,5,0,0.796,14.0,1,0
13.6,10.2,3,50,0,0.732,63.6,0,0
8.7,14.0,4,76,0,0.896,9.2,6,0
20.3,9.0,11,65,0,0.929,18.0,0,0
27.2,10.2,2,5,1,0.826,25.4,0,0
3.2,14.5,6,112,0,1.252,6.2,1,0
45.6,15.6,6,75,1,1.088,39.7,1,0
22.2,10.9,4,96,1,0.811,26.5,1,0
47.3,5.7,6,89,0,0.739,7.1,1,0
23.5,24.5,3,60,0,1.384,30.5,1,0
3.8,9.3,13,26,0,1.136,4.1,0,0
25.5,25.8,13,73,0,0.705,11.2,0,0
23.5,27.7,24,24,0,0.888,12.4,1,0
6.6,19.7,11,106,0,1.162,14.4,3,0
76.2,25.7,2,110,0,1.306,33.0,2,1
49.9,14.9,14,84,0,1.335,46.2,1,0
42.6,14.4,12,64,0,1.146,43.1,1,1
71.7,19.6,20,106,0,0.73,8.4,2,0
11.7,14.2,7,113,0,0.764,9.2,1,0
28.8,8.7,9,91,0,0.818,25.8,0,0
30.6,15.3,12,115,0,0.929,42.8,3,0
53.0,12.2,8,116,0,1.302,28.4,3,0
11.1,28.1,16,122,1,1.322,41.3,0,0
23.4,9.9,7,115,1,0.951,11.5,1,0
41.4,1.8,9,5,0,0.916,10.3,0,1
54.4,26.7,5,87,0,1.034,43.7,1,0
15.4,4.5,3,75,0,0.9,29.2,1,0
33.4,5.1,8,98,0,1.355,27.2,1,0
27.6,10.4,2,19,0,0.99,13.8,2,0
17.8,6.2,9,30,1,1.317,33.8,1,0
11.5,11.0,1,132,0,0.715,27.7,1,0
48.0,10.7,13,92,0,0.878,27.2,1,0
50.2,31.3,8,81,0,1.134,14.5,2,0
40.9,11.7,6,52,0,1.261,6.5,1,0
16.8,32.9,6,36,0,0.949,23.6,1,1
24.4,3.3,14,46,0,0.967,63.5,1,1
39.3,21.5,11,46,0,1.211,36.6,1,1
16.7,10.2,6,94,0,0.835,51.8,0,0
8.2,22.5,24,81,1,0.73,58.4,0,0
39.2,24.6,29,40,0,0.799,22.7,1,0
11.9,17.7,17,102,0,1.211,25.6,0,0
36.2,30.6,11,5,1,1.202,8.6,0,1
7.1,13.2,7,5,0,0.796,4.9,4,0
29.0,26.1,2,96,1,0.817,23.6,3,0
77.7,10.8,5,128,0,1.322,25.3,0,0
50.9,10.7,3,5,0,1.235,21.3,0,0
29.9,24.6,9,53,0,1.006,36.5,1,0
45.5,6.4,9,131,1,1.081,54.3,0,0
16.7,16.0,6,16,0,1.338,21.9,0,0
29.0,17.3,14,102,0,0.869,36.8,1,0
4.5,24.7,4,59,0,0.884,11.5,1,1
40.6,10.0,4,103,0,1.15,69.9,2,0
38.9,22.4,5,111,0,0.977,13.2,0,0
43.5,8.0,2,83,0,0.927,28.9,1,0
33.0,19.7,8,41,0,1.233,9.4,2,0
60.4,11.5,1,37,0,0.704,8.9,3,0
37.6,10.2,16,53,0,1.005,25.6,1,1
19.2,21.7,3,13,0,0.903,25.5,1,0
37.5,5.0,5,95,0,1.362,8.9,1,0
35.6,16.1,21,5,0,1.052,38.6,2,0
17.8,4.4,1,121,0,1.255,10.9,0,0
33.7,11.9,4,43,1,1.232,37.4,0,0
13.4,7.1,12,61,0,1.291,35.3,0,0
15.6,11.3,9,50,0,0.782,20.0,3,0
18.0,9.0,5,128,1,1.351,24.7,0,0
36.2,10.4,13,88,0,1.002,6.2,1,0
7.7,6.8,7,106,0,0.833,25.6,0,0
87.4,9.1,2,52,0,1.02,67.0,0,0
73.5,3.8,20,94,0,1.258,34.6,1,1
19.4,23.8,2,96,0,1.1,13.1,0,1
25.0,6.9,9,72,1,1.135,18.2,2,0
33.1,19.1,4,78,0,0.905,57.7,2,0
16.0,15.2,7,80,0,1.301,11.1,0,0
22.3,1.0,7,79,0,1.107,13.8,1,0
37.5,23.3,3,97,0,1.058,57.1,1,1
30.4,17.1,17,41,0,1.266,25.7,1,0
8.8,16.5,16,5,1,1.057,21.3,1,0
45.7,12.0,9,46,0,0.945,9.1,0,1
71.6,23.5,10,47,1,1.376,35.5,0,0
41.2,11.2,13,78,0,0.88,12.6,1,1
18.2,17.5,4,73,0,0.858,32.4,1,0
18.2,17.0,12,50,0,1.18,7.5,1,1
18.9,14.7,9,6,0,0.98,25.1,1,1
36.8,5.6,4,49,0,0.799,66.4,2,0
33.9,16.2,32,82,0,0.822,29.3,3,1
37.0,10.0,1,112,0,1.082,31.8,0,0
35.0,28.2,6,46,0,1.299,8.1,1,0
93.2,22.9,4,67,1,1.398,23.1,1,0
41.4,22.5,5,60,0,1.252,63.9,1,0
7.3,11.2,15,33,0,0.839,29.8,2,1
6.0,36.8,13,98,0,1.175,27.7,1,0
7.7,12.8,8,83,0,0.839,13.2,4,0
27.3,9.0,8,158,0,0.811,16.8,0,0
21.2,13.2,8,30,0,0.818,36.4,1,0
13.8,9.3,9,64,0,0.812,18.8,0,0
4.1,16.6,2,72,0,0.745,28.5,2,0
50.2,12.5,13,42,1,0.972,58.0,3,1
21.3,37.9,18,109,0,0.911,15.9,1,0
59.8,4.5,4,57,0,1.342,21.0,1,0
25.9,23.1,16,46,1,1.302,25.2,1,0
17.3,34.8,3,100,1,0.862,14.7,1,1
15.4,8.3,16,36,0,1.059,12.0,1,1
13.1,19.6,6,79,0,1.067,14.2,1,0
31.4,10.4,9,40,0,0.98,46.5,0,0
14.5,11.0,2,58,0,1.002,46.5,3,0
27.1,32.3,4,69,0,0.757,48.7,0,1
66.8,9.9,14,90,0,1.126,18.1,0,0
7.9,17.6,3,70,0,1.056,23.9,1,0
15.7,30.3,4,51,1,1.04,34.5,4,1
17.2,27.4,10,83,0,1.349,42.7,1,0
29.4,17.8,16,39,0,1.297,51.7,0,0
24.3,18.0,1,106,1,0.968,31.9,0,0
24.8,4.7,1,167,0,1.062,13.2,0,0
52.5,20.5,4,72,0,0.968,8.0,0,0
17.9,9.4,19,88,0,1.091,27.2,1,1
11.3,12.6,6,29,0,1.326,47.0,0,0
21.7,25.0,2,67,0,1.09,120.4,0,1
36.5,12.7,16,93,0,1.361,30.9,3,1
13.6,26.7,12,84,0,1.288,5.2,0,0
4.5,7.1,6,46,0,0.91,13.4,1,0
94.9,5.2,9,53,0,1.045,33.9,1,1
18.9,6.3,15,60,0,1.004,40.3,3,1
27.7,2.2,4,60,0,0.771,31.4,0,0
28.3,3.7,17,43,0,0.901,24.0,1,1
23.2,25.2,5,109,0,1.016,14.5,0,0
10.4,41.1,1,101,1,1.285,44.1,0,1
16.7,23.9,10,27,0,1.345,63.0,1,0
34.4,11.2,24,140,0,0.98,23.9,0,1
13.4,9.7,14,98,1,0.747,51.1,0,1
55.3,24.9,7,51,1,1.321,85.0,4,0
18.0,4.7,7,62,0,1.122,2.0,1,0
28.4,10.2,3,65,0,1.307,5.0,1,0
61.3,44.6,6,30,0,0.766,14.5,0,1
8.7,38.9,8,11,1,1.272,16.3,2,0
16.4,8.6,9,49,1,0.715,23.3,1,0
19.9,12.5,11,102,0,1.317,15.5,2,0
20.9,6.8,9,14,0,1.375,45.6,1,0
7.8,14.2,12,65,0,1.152,15.6,0,1
30.2,16.2,11,58,0,1.071,18.0,1,0
31.3,14.6,28,52,0,1.125,7.7,1,0
30.2,27.0,5,58,0,1.234,7.4,0,1
41.4,6.5,5,94,1,1.261,15.2,8,0
7.1,15.6,3,40,0,0.889,28.0,3,0
25.5,10.6,10,56,0,0.875,20.4,0,1
22.1,15.4,10,86,0,0.98,21.8,4,0
10.1,4.1,6,40,0,1.022,15.9,0,0
15.1,9.2,16,95,0,0.906,17.0,1,1
14.9,4.5,7,113,0,0.959,15.4,0,0
11.1,15.4,12,51,0,1.396,84.9,3,0
29.6,9.3,11,109,0,1.119,14.3,0,1
16.9,3.6,4,44,0,1.049,2.0,2,0
36.8,13.4,3,17,0,1.039,14.4,1,0
42.0,14.0,7,126,0,1.013,7.7,1,0
48.4,10.1,4,71,0,0.704,12.5,3,0
7.1,18.9,4,77,1,0.794,21.0,2,0
3.4,21.3,18,50,1,1.196,34.7,2,0
12.2,28.4,4,37,0,1.295,25.1,2,1
23.7,29.6,9,69,0,1.042,6.5,3,0
17.3,22.7,11,142,1,1.355,41.0,1,0
35.2,21.0,5,56,1,0.799,22.6,1,0
20.9,19.1,10,106,1,0.703,15.7,0,0
35.5,7.3,3,141,0,1.087,37.4,3,0
11.4,19.8,11,65,0,0.83,27.3,0,0
27.5,5.8,6,73,0,0.887,22.7,0,0
11.1,22.7,1,60,0,1.028,49.7,0,1
17.5,25.6,8,51,0,0.837,30.0,1,1
17.9,8.2,4,52,1,0.778,16.3,0,0
12.6,12.6,9,5,0,0.729,48.8,0,1
40.8,14.1,8,54,0,1.034,25.0,2,0
10.9,17.5,7,44,0,1.34,38.0,0,0
6.6,21.4,17,72,0,1.203,9.4,0,0
9.9,26.6,4,153,0,1.117,58.1,3,1
27.0,15.3,19,85,1,0.766,45.6,0,0
22.4,9.3,7,79,0,1.129,23.2,4,0
12.9,14.7,4,56,0,1.138,8.7,2,0
13.6,9.5,8,91,0,0.752,32.1,0,0
27.2,9.3,11,71,0,1.195,16.6,1,0
52.8,12.4,7,42,0,1.061,26.6,0,0
3.5,6.7,18,85,0,1.395,120.3,0,1
30.2,18.5,13,37,1,0.8,6.9,1,0
97.1,20.8,6,58,0,0.78,22.1,0,0
32.8,41.8,7,64,0,1.169,27.9,2,1
16.8,12.0,6,61,0,1.127,67.6,1,0
28.9,6.8,6,125,0,0.89,35.3,2,0
47.7,26.6,1,103,0,1.097,118.2,1,1
30.7,15.4,20,30,0,1.389,10.8,1,1
94.7,1.4,7,38,0,0.82,11.9,2,0
69.5,10.9,4,78,0,1.129,40.2,2,0
15.7,11.8,10,119,0,0.777,12.1,0,1
10.9,9.6,15,58,0,1.254,44.6,2,1
57.0,24.4,5,25,0,1.061,107.3,0,1
40.4,8.6,2,78,0,0.807,9.3,0,0
35.8,36.6,5,59,0,0.912,53.5,1,1
15.0,19.4,5,139,0,1.263,17.2,2,0
8.8,13.5,16,42,1,0.999,0.9,1,1
33.3,3.1,5,36,0,1.367,18.9,1,0
18.1,15.3,3,55,1,1.053,15.5,0,0
29.5,18.3,12,36,0,1.071,38.0,1,0
45.4,8.0,10,83,0,0.821,35.6,2,0
21.6,10.1,7,61,0,1.32,14.0,0,0
32.7,19.7,9,104,0,1.225,28.6,3,0
30.5,17.2,6,157,0,0.782,30.5,0,1
40.2,9.8,1,60,0,0.816,64.2,2,0
17.0,12.8,15,24,0,1.066,16.1,3,1
13.4,6.1,15,54,0,1.245,40.0,0,1
24.5,9.7,9,44,1,1.219,38.2,1,0
10.0,11.8,11,93,0,0.753,41.8,0,0
35.1,10.0,2,89,1,1.183,21.2,1,0
86.2,6.4,10,89,0,1.38,44.5,2,1
16.4,33.4,7,67,0,1.123,66.3,1,0
29.2,5.5,8,59,0,1.087,11.6,1,0
51.8,14.9,2,102,1,1.14,28.0,0,0
16.4,28.4,8,108,0,1.082,7.0,1,0
14.0,8.5,23,133,0,0.856,38.3,0,1
5.3,2.5,15,107,0,1.091,22.7,3,1
53.0,14.0,6,77,0,1.213,29.0,0,0
15.7,9.4,4,40,0,1.112,14.2,1,0
29.3,9.5,6,104,1,1.033,30.6,1,0
31.7,20.4,8,71,0,1.181,84.6,4,0
23.8,20.2,3,80,0,1.302,28.5,0,0
11.7,11.4,14,71,0,0.703,37.5,0,1
54.8,9.9,2,5,0,1.318,31.9,0,0
9.3,15.0,11,100,0,1.066,117.2,2,0
42.4,8.4,4,47,0,0.981,11.8,0,0
12.3,11.6,2,81,0,1.194,27.0,0,0
26.6,13.0,10,85,0,1.395,69.1,1,0
46.4,33.3,15,56,0,0.905,16.9,1,0
11.8,8.6,3,101,1,1.258,25.5,0,0
27.0,11.3,8,138,0,1.332,6.7,0,1
66.5,21.1,10,62,0,0.843,11.4,1,1
19.4,21.5,5,58,0,1.311,45.2,1,1
25.3,11.2,11,69,0,1.351,21.3,1,1
5.2,2.2,33,89,1,1.121,8.9,1,1
11.3,23.4,11,48,0,0.838,10.0,0,0
8.8,24.1,12,52,1,0.764,36.4,1,1
18.0,15.4,6,68,0,1.122,26.5,1,0
35.0,3.9,11,46,0,0.839,30.9,2,1
35.0,9.9,3,49,0,0.836,12.7,0,0
